id,actual_answer,split,question,choice_A,choice_B,choice_C,choice_D
Mercury_7228095,B,train,مزیت تنظیم بیان ژن چیست؟,حفاظت از اطلاعات ژنتیکی,حفاظت از منابع سلولی,سازگاری ویژگی‌ها با تغییرات محیطی,ارث‌بردن ویژگی‌ها در نسل‌های آینده
Mercury_7216703,B,train,برخی از افراد از حالتی به نام سندرم تونل کارپ که باعث درد در مچ دست می‌شود، رنج می‌برند. سندرم تونل کارپ می‌تواند ناشی از حرکات تکراری مچ دست‌ها و دست‌ها باشد، مانند تایپ کردن روی صفحه‌کلید کامپیوتر. این یک نمونه از استفاده از فناوری با وجود,کمک به جامعه.,تأثیر منفی.,پیشرفت‌های پزشکی.,ویژگی‌هایConvenient.
Mercury_7132195,D,train,کدام ماشین ساده مسافت طی شده بار را افزایش می‌دهد و نیروی مورد نیاز را کاهش می‌دهد؟,چرخ و محور,تیغه,کششی,سطح شیب‌دار
MCAS_2008_8_5608,C,train,اگر موجود زنده جدیدی کشف شود، کدام یک از موارد زیر احتمالاً برای طبقه‌بندی آن به شاه‌سلطنت مناسب استفاده خواهد شد؟,رنگ موجود زنده,زیستگاه طبیعی موجود زنده,ساختار آناتومی موجود زنده,محل کشف موجود زنده
MDSA_2009_8_14,B,train,برق کاربردهای زیادی دارد. کدام دستگاه برای تبدیل انرژی الکتریکی به انرژی گرمایی مفید طراحی شده است؟,یک رادیوی ساعت,یک اجاق برقی,یک موتور الکتریکی,یک شارژر باتری
Mercury_SC_407137,C,train,گیاهان از مواد مغذی موجود در خاک استفاده می‌کنند. کدام یک از این موارد می‌تواند در خاک تجزیه شود و تبدیل به مواد مغذی گردد؟,هوا,آب,برگ‌ها,نور خورشید
Mercury_SC_401197,C,train,شیوه‌های ایمن در آزمایشگاه شامل همه این موارد به جز کدام است,جمع کردن موهای بلند,پوشیدن عینک ایمنی,انجام هر مرحله به سرعت,پاک کردن فوری ریختگی‌ها
Mercury_7120943,B,train,در یک رویداد ورزشی، داور از سوت برای هشدار به تیم‌ها جهت شروع و متوقف کردن بازی استفاده می‌کند. چه چیزی باعث می‌شود صدای سوت داور در تمام جهات حرکت کند؟,الف) لرزش‌های زمین,ب) لرزش‌های هوا,ج) امواج زلزله,د) امواج نوری
ACTAAP_2009_5_13,D,train,آلن در حال استفاده از آب کلم برای تعیین pH نسبی محلول‌های مختلف خانگی است. کدامیک از این مراحل نتایج تحقیقات او را منتقل می‌کند؟,چندین آزمایش انجام دهید,یک روش را بنویسید,مواد را شناسایی کنید که باید آزمایش شوند,مشاهده‌ها و داده‌ها را در یک دفتر ثبت کنید
Mercury_SC_408038,B,train,در دسامبر، یک سمت زمین انرژی کمتری از خورشید دریافت خواهد کرد نسبت به سمت دیگر. کدام جمله بهترین توضیح را برای این واقعیت ارائه می‌دهد؟,الف) زمین حول محور خود می‌چرخد.,ب) زمین بر روی محور خود متمایل است.,ج) نور خورشید که به زمین می‌رسد از ماه بازتاب می‌یابد.,د) نور خورشید که به زمین می‌رسد توسط ماه مسدود می‌شود.
Mercury_7181965,B,train,فسیل‌های سرخس گلاسوپترس در قاره‌های آمریکای جنوبی، آفریقا، آسیا و قطب جنوب پیدا شده است. بذرهای این سرخس بسیار کوچک بودند و نمی‌توانستند توسط باد پراکنده شوند. چه چیزی بهترین اشاره به وجود فسیل‌های گلاسوپترس در این قاره‌ها است؟,گلاسوپترس به اندازه‌ای منعطف بود که بتواند به تمام آب و هواها سازگار شود.,زمین‌ها در زمان‌های پیش از تاریخ به هم پیوسته بودند.,فسیل‌ها در قاره‌های جنوبی به مراتب بهتر حفظ شده‌اند.,منطقه‌های آب و هوایی شمالی برای رشد گیاهان مناسب نبودند.
Mercury_7142853,A,train,جانشینی ثانویه، فرآیندی است که زیستگاه قبلاً مستعمره شده، اما مختل یا آسیب دیده را دوباره برقرار می‌کند. کدامیک به احتمال زیاد منجر به استعمار توسط گیاه‌خواران بزرگ و شکارچیان خواهد شد؟,نهال‌ها و درختان,علف‌ها و بوته‌ها,لکه‌ها و خزه‌ها,نهال‌ها و درختچه‌ها
Mercury_7247975,C,train,کدام عمل بهترین مدل‌ سازی حرکات یک بازو در مفصل آرنج است؟,باز کردن یک کشو,برش یک سیب,بستن در یک اتومبیل,هل دادن یک چرخ‌ دستی
Mercury_401030,D,train,معادله را بخوانید. 2Ca + O_{2} -> 2CaO محصول واکنش چیست؟,فلز,مخلوط,محلول,ترکیب
ACTAAP_2007_7_23,B,train,افزایش دمای جهانی به چه نامیده می‌شود؟,اثر گلخانه‌ای,گرمایش جهانی,کاهش اوزن,گرمایش خورشیدی
Mercury_7086678,C,train,یک برش جاده‌ای لایه‌ای از شیل را بر روی لایه‌ای از سنگ آهک نشان می‌دهد. این نشان‌دهنده چیست؟,الف) لایه شیل از لایه سنگ آهک قدیمی‌تر است.,ب) در طول رسوب‌گذاری لایه‌ها، یک شکستگی رخ داده است.,ج) محیط بین زمان‌های رسوب‌گذاری تغییر کرده است.,د) فعالیت آتشفشانی زمانی که این لایه‌ها رسوب کردند، رخ داده است.
MSA_2012_8_33,D,train,یک گروه از دانش‌آموزان قصد دارد مدلی از زیستگاه برکه محلی بسازد. کدام مدل بهترین نمایندگی از محیطی مشابه برکه است؟,یک بطری پلاستیکی sealed حاوی حشره‌ها و جلبک‌های برکه,یک آکواریوم کلاس کلاس حاوی گیاهان و حیوانات خریداری شده از فروشگاه,یک آکواریوم کلاس کلاس حاوی آب شیرین، گیاهان غیر بومی و حیوانات غیر بومی,یک استخر کوچک پلاستیکی در فضای باز حاوی آب شیرین، گیاهان بومی و حیوانات بومی
NCEOGA_2013_5_10,A,train,بهترین توضیح برای نحوه حرکت توده‌های هوایی در ایالات متحده چیست؟,بادهای غربی غالب توده‌های هوایی را از غرب به شرق در سرتاسر ایالات متحده حرکت می‌دهند اما ممکن است توسط جت استریم منحرف شوند.,بادهای تجاری توده‌های هوایی را از غرب به شرق در سرتاسر ایالات متحده حرکت می‌دهند.,جت استریم توده‌های هوایی را از اقیانوس آرام به سرتاسر ایالات متحده حرکت می‌دهد.,هوای گرم جریان خلیج باعث می‌شود که توده‌های هوایی از اقیانوس اطلس به اقیانوس آرام حرکت کنند.
Mercury_SC_406650,B,train,برخی از گیاهان، مانند درختان چوب سرخ، ممکن است هزاران سال زندگی کنند. برخی دیگر از گیاهان، مانند گل وحشی سوزن سیاه، ممکن است تنها چند هفته زندگی کنند. این گیاهان به احتمال زیاد چه چیزی مشترک دارند تا زنده بمانند؟,استفاده از مخروط‌ها برای پخش بذرها,روش موفقی برای تولید مثل,توانایی زندگی در بیابان,خارهایی برای دور کردن حیوانات
NCEOGA_2013_8_51,D,train,دانشمندان چگونه می‌دانند که برخی از کوه‌ها زمانی در اعماق اقیانوس بوده‌اند؟,رودخانه‌های آب شیرین به اقیانوس می‌ریزند.,ماهی‌های آب شور در برخی از جویبارهای کوهستانی یافت می‌شوند.,استخوان‌های دایناسور در کوه‌ها کشف شده است.,فسیل‌های دریایی در قله‌های برخی از کوه‌ها یافت شده است.
Mercury_SC_415540,C,train,چهار دانش‌آموز مختلف به نوبت یک توپ سنگین و بزرگ را در پارکینگ مدرسه به جلو می‌رانند. بهترین روش برای تعیین اینکه کدام دانش‌آموز بیشترین نیرو را برای هل دادن توپ استفاده کرده، چیست؟,اندازه‌های دانش‌آموزان را مقایسه کنید,سن‌های دانش‌آموزان را مقایسه کنید,فاصله‌هایی که توپ حرکت کرده را مقایسه کنید,تعداد دفعاتی که توپ هل داده شده است را مقایسه کنید
Mercury_7007910,B,train,هنگامی که یک توده هوای سرد با یک توده هوای گرم و مرطوب تماس پیدا می‌کند، احتمالاً چه اتفاقی می‌افتد؟,آسمان صاف می‌شود.,باران یا برف شروع به باریدن می‌کند.,هوای سرد به ارتفاعات بالا رانده می‌شود.,هوای گرم به سطح زمین رانده می‌شود.
Mercury_SC_402281,A,train,هنگامی که حیوانات ماقبل تاریخ مردند و بخش‌های نرم آن‌ها تجزیه شد، چه محصولی تشکیل شد؟,نفت,ماسه,زغال‌سنگ,شیل
Mercury_404786,B,train,کدام یک از این موارد یک عنصر است؟,KBr,O_{2},2KCl,FeO_{2}
Mercury_414102,B,train,موجودات زنده را می‌توان بر اساس ویژگی‌های اساسی‌ترین آنها به وسیع‌ترین گروه‌ها تقسیم‌بندی کرد که به آنها گفته می‌شود,مملکت‌ها.,حوزه‌ها.,شاخه‌ها.,سلسله‌ها.
Mercury_7227833,A,train,کدام ساختار در هر دو ویروس و سلول یافت می‌شود؟,زنجیره اسید نوکلیک,آبشار گلژی,شبکه اندوپلاسمی,غشای هسته
Mercury_SC_401588,D,train,یک دانش‌آموز سه بلوک با اندازه‌های یکسان دریافت می‌کند. هر بلوک از ماده‌ای متفاوت ساخته شده است. چه ویژگی از بلوک‌ها باید بررسی شود تا معلوم گردد کدام بلوک از فلز ساخته شده است؟,رنگ,وزن,بافت,رسانایی
Mercury_412149,D,train,سدیم، Na، در یک گروه مشابه با کدام یک از موارد زیر است؟,نئون.,منیزیم.,کلسیم.,پتاسیم.
Mercury_7109585,D,train,بیشتر کوه‌ها در زمین در رشته‌کوه‌های عظیمی به طول هزاران مایل قرار دارند. کدامیک از رویدادها بیشتر احتمال دارد باعث تشکیل این رشته‌کوه‌ها شود؟,فرسایش سنگ‌ها,زمین‌لرزه‌های شدید,فوران آتش‌فشان,حرکت صفحات
Mercury_7228550,C,train,چند واحد پایه اطلاعات در یک مولکول DNA برای رمزگزاری یک آمینواسید لازم است؟,1,2,3,4
MDSA_2007_8_16,A,train,دانشمندان برای آزمایش فرضیه‌ها آزمایش‌هایی را انجام می‌دهند. دانشمندان چگونه سعی می‌کنند در طول آزمایش‌ها بی‌طرف باقی بمانند؟,الف) دانشمندان تمام نتایج را تحلیل می‌کنند.,ب) دانشمندان از احتیاط‌های ایمنی استفاده می‌کنند.,ج) دانشمندان یک بار آزمایش را انجام می‌دهند.,د) دانشمندان حداقل دو متغیر را تغییر می‌دهند.
Mercury_7199150,B,train,پس از یک بازی فوتبال، بریتنی به دلیل گرما زیر یک پنکه نشسته بود. تحت پنکه، او احساس خنکی بیشتری نسبت به قبل کرد. کدام یک توضیح می‌دهد که چرا بریتنی تحت پنکه احساس خنکی کرد؟,هوای در حال حرکت زیر پنکه سردتر از هوای ساکن است.,تبخیر عرق از پوست گرما را جذب می‌کند.,بخار آب ناشی از پنکه بر روی پوست متراکم می‌شود.,پنکه جریان‌های همرفت در هوا را افزایش می‌دهد.
Mercury_SC_403010,B,train,کدام اقلام برای ایجاد یک مدار ساده لازم است؟,سیم و کلید,سیم و باتری,لامپ و کلید,لامپ و باتری
Mercury_SC_401157,C,train,سوال: یک سیم هادی که در پلاستیک پیچیده شده است، کاربر را محافظت می‌کند زیرا پلاستیک,الف) سیم را خنک نگه می‌دارد.,ب) اجازه می‌دهد حرارت به طور آزاد حرکت کند.,ج) یک عایق الکتریکی خوب است.,د) خواص مغناطیسی دارد.
Mercury_SC_401298,D,train,کدام یک می‌تواند به بهترین شکل به یک حیوان جنگلی کمک کند تا از خوردن توسط بازها یا جغدها جلوگیری کند؟,اندازه کوچک,چنگال‌های تیز,رنگ روشن,خانه زیرزمینی
Mercury_402213,A,train,کدام یک از موارد زیر نشان دهنده واکنش مواد برای تشکیل مواد جدید نیست؟,H_{2}O(l) -> H_{2}O(g),2H_{2} + O_{2} -> 2H_{2}O,2Na + Cl_{2} -> 2NaCl,6CO_{2} + 6H_{2}O -> C_{6}H_{12}O_{6} + 6O_{2}
Mercury_7212065,D,train,کدام اظهار نظر بهترین توصیف را از حرکت مولکول‌های آب هنگام تغییر حالت آب از بخار به مایع ارائه می‌دهد؟,مولکول‌ها سریع‌تر حرکت می‌کنند و فضای بیشتری را اشغال می‌کنند.,مولکول‌ها کندتر حرکت می‌کنند و فضای بیشتری را اشغال می‌کنند.,مولکول‌ها سریع‌تر حرکت می‌کنند و فضای کمتری را اشغال می‌کنند.,مولکول‌ها کندتر حرکت می‌کنند و فضای کمتری را اشغال می‌کنند.
Mercury_7126630,A,train,پوست انسان در سیستم‌های مختلف ارگان‌ها نقش مهمی دارد. کدام سیستم ارگانی کمتر احتمال دارد که تعامل مستقیمی با پوست داشته باشد؟,گوارش,ادراری,ایمنی,عصبی
ACTAAP_2010_7_1,C,train,چه چیزی انرژی خورشیدی را از اکثر دیگر انرژی‌هایی که مردم استفاده می‌کنند متمایز می‌کند؟,انرژی خورشیدی شامل خطرناک‌ترین تجهیزات است.,انرژی خورشیدی به پیچیده‌ترین فناوری نیاز دارد.,منبع انرژی خورشیدی برای میلیاردها سال تغییر نخواهد کرد.,منبع انرژی خورشیدی باعث می‌شود که ارزان‌ترین نوع انرژی باشد.
Mercury_7211348,A,train,یک دانش‌آموز می‌خواهد از یک جدول جریانی استفاده کند تا تأثیر اسیدیته آب بر نرخ فرسایش یک جویبار را آزمایش کند. کدام متغیر باید در این تجربه ثابت باشد؟,زاویه شیب جدول,اسیدیته آب,مقدار رسوب فرسایش یافته,نرخ فرسایش رسوب
MCAS_2005_9_19,D,train,یک دانش‌آموز بر روی یک اسکیت بورد که حرکت نمی‌کند، ایستاده است. جرم کل دانش‌آموز و اسکیت بورد ۵۰ کیلوگرم است. دانش‌آموز یک توپ به جرم ۲ کیلوگرم را به جلو با سرعت ۵ متر بر ثانیه پرتاب می‌کند. با فرض اینکه چرخ‌های اسکیت بورد بدون اصطکاک هستند، چگونه دانش‌آموز و اسکیت بورد حرکت خواهند کرد؟,به جلو با سرعت ۰.۴ متر بر ثانیه,به جلو با سرعت ۵ متر بر ثانیه,به سمت عقب با سرعت ۰.۲ متر بر ثانیه,به سمت عقب با سرعت ۵ متر بر ثانیه
VASoL_2007_5_28,C,train,کدام گاز توسط گیاهان آزاد می‌شود؟,هیدروژن,نیتروژن,اکسیژن,هلیم
Mercury_SC_400698,C,train,نوع تغییر انرژی که هنگام کار کردن یک باتری در یک اسباب بازی کنترل از راه دور اتفاق می‌افتد چیست؟,انرژی حرارتی به انرژی نوری تبدیل می‌شود.,انرژی نوری به انرژی حرارتی تبدیل می‌شود.,انرژی پتانسیل به انرژی جنبشی تبدیل می‌شود.,انرژی جنبشی به انرژی شیمیایی تبدیل می‌شود.
Mercury_SC_408743,A,train,یرمیا متوجه شد که یک گیاه بسیاری از برگ‌هایش را از دست داده و در سایر برگ‌ها نیز حفره‌های بزرگی وجود دارد. چرا از دست دادن برگ‌ها برای گیاه مضر است؟,گیاه غذای کمتری تولید می‌کند.,گیاه آب کمتری دریافت می‌کند.,گیاه حشرات کمتری را جذب می‌کند.,گیاه از حمایت برخوردار نیست.
Mercury_SC_408368,B,train,جیمز مقداری آب در یک تابه ریخت. او تابه را روی اجاق گذاشت و اجاق را روی کم روشن کرد. چه اتفاقی برای آب خواهد افتاد؟,آب ذوب خواهد شد.,آب بخار خواهد شد.,آب به یک جامد تبدیل خواهد شد.,آب به قطرات ریز متراکم خواهد شد.
Mercury_7042665,D,train,سیستم تنفسی نمی‌تواند اکسیژن را به سلول‌های بدن منتقل کند و نیز نمی‌تواند دی‌اکسید کربن را حذف کند، بدون کدام دو سیستم بدن؟,سیستم عضلانی و عصبی,سیستم گوارش و عضلانی,سیستم قلبی-عروقی و عصبی,سیستم قلبی-عروقی و عضلانی
ACTAAP_2007_7_4,A,train,کدام یک به عنوان یک منبع غیرقابل تجدید در نظر گرفته می‌شود؟,الف) نفت,ب) خاک,ج) غذا,د) آب
Mercury_406808,B,train,سوال: درخت ایالت اوهایو، درخت باکای (Buckeye) است. کدامیک از این موارد ویژگی‌ای است که درخت باکای در فرآیند تولید مثل به ارث می‌برد؟,الف) تعداد برگ‌هایی که در زمستان می‌ریزد,ب) تغییر رنگ برگ در فصل پاییز,ج) نوع معدنی که از خاک جذب می‌شود,د) مقدار آبی که برای رشد در دسترس است
NYSEDREGENTS_2007_8_31,A,train,در کدام fase تغییر، انرژی حرارتی توسط یک ماده جذب می‌شود؟,از مایع به گاز,از گاز به جامد,از مایع به جامد,از گاز به مایع
MEA_2010_8_7,B,train,کدام یک از گزینه‌های زیر، دورترین جسم از زمین است؟,کوه هالی, کهکشان آندرومدا,نپتون,خورشید
Mercury_LBS10444,D,train,"فاصله متوسط بین زمین و خورشید ۱۴۹,۶۰۰,۰۰۰ کیلومتر است. کدام یک از موارد زیر نوتاسیون علمی صحیح برای این فاصله است؟",۱.۴۹۶ × ۱۰^۳ کیلومتر,۱۴۹۶ × ۱۰^۵,۱۴۹.۶ × ۱۰^۶ کیلومتر,۱.۴۹۶ × ۱۰^۸ کیلومتر
NYSEDREGENTS_2004_8_3,D,train,عملکرد اصلی سیستم گردش خون چیست؟,آنزیم ها را ترشح کند,پروتئین ها را هضم کند,هورمون ها را تولید کند,مواد را حمل کند
Mercury_414091,B,train,رایج ترین عنصری که در ترکیبات تشکیل دهنده آب اقیانوس یافت می‌شود، چیست؟,نیتروژن,اکسیژن,کربن,سیلیکون
Mercury_7197225,C,train,یک شرکت داروسازی یک آنتی بیوتیک جدید برای درمان ذات الریه توسعه می‌دهد. پس از آزمایش‌های محدود، محققان نتیجه‌گیری می‌کنند که این آنتی بیوتیک به نظر موثر است. چگونه می‌توانند نتیجه‌گیری‌های خود را تقویت کنند؟,آزمایش آنتی‌بیوتیک بر روی داوطلبان انسانی.,نتایج خود را در یک نشریه پزشکی منتشر کنند.,از یک آزمایشگاه مستقل بخواهند تا آنتی‌بیوتیک را دوباره آزمایش کند.,کارایی آنتی‌بیوتیک را در کشتن دیگر باکتری‌ها آزمایش کنند.
Mercury_SC_415389,C,train,کدام یک درباره خورشید و زمین درست است؟,زمین نور و انرژی حرارتی به خورشید می‌دهد.,زمین تنها انرژی حرارتی به خورشید می‌دهد.,خورشید نور و انرژی حرارتی به زمین می‌دهد.,خورشید تنها انرژی نوری به زمین می‌دهد.
MDSA_2011_8_1,D,train,در طول تولید مثل جنسی، یک سلول اسپرم یک سلول تخمک را بارور می‌کند تا یک تخمک بارور شده شکل بگیرد. سپس تخمک بارور شده به یک موجود جدید تبدیل می‌شود. کدامیک از بیانات، مزیت اصلی تولید مثل جنسی را نسبت به تولید مثل غیرجنسی توصیف می‌کند؟,الف) تولید مثل جنسی فرزندان یکسانی تولید می‌کند.,ب) تولید مثل جنسی فرزندان کمتری سازگار تولید می‌کند.,ج) تولید مثل جنسی تعداد زیادی فرزند تولید می‌کند.,د) تولید مثل جنسی باعث تنوع ژنتیکی در فرزندان می‌شود.
MDSA_2009_5_17,C,train,یک دانش‌آموز نمک و شکر را مخلوط کرد. کدام جمله خواص فیزیکی نمک و شکر را پس از مخلوط شدن توصیف می‌کند؟,شکر نمک را حل کرد.,نمک و شکر رنگشان تغییر کرد.,شکر و نمک تغییری نکردند.,نمک و شکر یک ماده جدید تشکیل دادند.
Mercury_SC_LBS10791,C,train,چرا در فصول مختلف ستاره‌های مختلفی دیده می‌شوند؟,برخی از ستاره‌ها در فصول مختلف بیشتر می‌درخشند.,خورشید در فصول مختلف بر ستاره‌های مختلف می‌تابد.,زمین در فصول مختلف موقعیت خود را در مدار تغییر می‌دهد.,ماه در فصول مختلف موقعیت خود را در مدار تغییر می‌دهد.
Mercury_7027055,C,train,یک دانشمند شمارش‌های ماهانه جمعیت سه گونه حیوانی را در یک جنگل به مدت پنج سال جمع‌آوری کرده است. برای نمایش این داده‌ها، دانشمند باید از کدام یک از موارد زیر استفاده کند؟,یک جدول,یک نمودار دایره‌ای,یک نمودار خطی,یک نمودار پراکندگی
Mercury_182613,A,train,دوقلوهای هم‌زاد ممکن است ویژگی‌های مشابهی داشته باشند یا نداشته باشند به دلیل,ترکیب مستقل.,وراثت چندژنی.,غلبه ناقص.,آلل‌های متعدد.
MCAS_2016_8_2,B,train,سوالی: یک شرکت در حال تولید تبلیغاتی برای گیتارهای سفارشی خود است. کدام یک از بیانیه‌های زیر باید در تبلیغ وجود داشته باشد تا بهترین تأکید بر فرایندهای تولید سفارشی شرکت داشته باشد؟,الف) گیتارهای ما با استفاده از ابزار دستی ساخته می‌شوند.,ب) ما گیتارهای خود را طبق مشخصات شما می‌سازیم.,ج) ما هر ساله هزاران گیتار تولید و به فروش می‌رسانیم.,د) گیتارهای ما بهترین کیفیتی هستند که پول شما می‌تواند بخرد.
Mercury_7097248,D,train,یک تولیدکننده لوازم خانگی طراحی جدیدی برای پنکه برقی خود انجام داده است. این تولیدکننده پنکه جدید را از نظر مصرف انرژی بهینه‌تر کرده است. این بدین معناست که پنکه جدید,بیشتر برق را به گرما تبدیل می‌کند.,با سرعت کمتری نسبت به پنکه اصلی می‌چرخد.,به برق بیشتری نسبت به پنکه اصلی نیاز دارد.,درصد گرمای از دست رفته به جو را کاهش می‌دهد.
Mercury_7082810,A,train,یک توپ بولینگ که بر روی یک میز در حالت سکون قرار دارد، نیرویی به سمت پایین بر روی میز وارد می‌کند. نیرویی که از سوی میز وارد می‌شود، باید,همانند نیروی توپ باشد.,به‌طور مداوم با توپ تغییر کند.,بیشتر از نیروی توپ باشد.,کمتر از نیروی توپ باشد.
Mercury_7219013,D,train,کدام جسم نیروی گرانشی به قدری قدرتمند دارد که مرکز منظومه شمسی را تشکیل می‌دهد؟,زمین,پلوتو,ماه,خورشید
Mercury_7166093,B,train,گیاهان می‌توانند به جلوگیری از فرسایش کمک کنند یا به فرسایش کمک کنند. کدام یک از موارد زیر توصیف می‌کند که چگونه گیاهان می‌توانند به فرسایش کمک کنند؟,گیاهان جریان آب و خاک را کند می‌کنند.,ریشه‌های گیاه در سنگ‌ها رشد می‌کنند و سنگ‌ها را می‌شکنند.,ریشه‌های گیاه خاک را در مقابل باد نگه می‌دارند.,گیاهان ضربه‌ی قطرات باران را قبل از برخورد آن‌ها به خاک می‌شکنند.
Mercury_412216,A,train,زنجیره غذایی نشان داده شده است. نور خورشید -> علف -> خرگوش -> مار. عامل غیر زنده در این زنجیره غذایی چیست؟,نور خورشید,علف,خرگوش,مار
NYSEDREGENTS_2005_4_14,D,train,کدام حیوان برای تغییرات فصلی در محیط آماده می‌شود؟,خفاشی که در شب پرواز می‌کند,گوزنی که آب می‌نوشد,بوفالی که موش می‌خورد,سنجابی که آجیل ذخیره می‌کند
Mercury_SC_415542,A,train,کدام یک از این اشیاء دارای بزرگترین جرم است؟,آجر,توپ فوتبال,دفتر یادداشت,25 سنت
Mercury_417572,A,train,کرگدن‌ها و اسب‌ها با یکدیگر نسبتی دارند. آنها سیستم‌های گوارشی بسیار مشابه و تعدادی انگشت ناهنجار در پاهای خود دارند. اسب‌ها یک انگشت دارند و کرگدن‌ها سه انگشت. این حقایق بهترین پشتیبانی را از کدام ادعا دارند؟,اسب‌ها و کرگدن‌ها یک جد مشترک دارند.,اسب‌ها و کرگدن‌ها از نظر ژنتیکی یکسان هستند.,اسب‌ها اجداد کرگدن‌های مدرن هستند.,اسب‌ها از کرگدن‌های مدرن descend کرده‌اند.
Mercury_415092,B,train,هر یک از این معادلات شیمیایی را بررسی کنید تا ببینید کدام معادله به درستی متعادل شده است.,Mg(NO_{3})_{2} + K_{2}CO_{3} -> MgCO_{3} + KNO_{3},Mg(NO_{3})_{2} + K_{2}CO_{3} -> MgCO_{3} + 2KNO_{3},2Mg(NO_{3})_{2} + K_{2}CO_{3} -> 2MgCO_{3} + KNO_{3},Mg(NO_{3})_{2} + 2K_{2}CO_{3} -> MgCO_{3} + 2KNO_{3}
MCAS_2007_5_4788,D,train,قوطی‌های فولادی از قوطی‌های آلومینیومی در یک مرکز بازیافت جدا می‌شوند. کدام یک از گزینه‌های زیر بهترین روش برای جداسازی قوطی‌های فولادی از قوطی‌های آلومینیومی در مرکز بازیافت است؟,قوطی‌ها را بر اساس اندازه مرتب کنید,قوطی‌ها را در آب قرار دهید,قوطی‌ها را به دمای پایین خنک کنید,قوطی‌ها را زیر یک الکترومغناطیس قرار دهید
Mercury_406732,A,train,کدام گزینه بهترین توصیف را از تولیدمثل جنسی در تمام حیوانات ارائه می‌دهد؟,تخم و اسپرم به هم می‌پیوندند.,گرده و بذر به هم می‌پیوندند.,نسل جدید تنها ویژگی‌های یک والد را دارد.,نسل جدید کاملاً شبیه یک والد است.
Mercury_7269010,A,train,در کدام لایه از خورشید همجوشی هسته‌ای رخ می‌دهد؟,هسته,ناحیه تابشی,ناحیه همرفتی,کروموسفر
NCEOGA_2013_8_10,C,train,کدام یک بهترین توصیف‌کنندهٔ اهمیت هسته‌های یخ در مطالعهٔ تاریخ زمین‌شناسی است؟,آنها ناهماهنگی‌ها را نشان می‌دهند که تغییرات در رسوب‌گذاری را علامت می‌زنند.,آنها فسیل‌های شاخص را نگه‌داری می‌کنند که برای تاریخ‌گذاری هسته‌های یخ مختلف استفاده می‌شوند.,آنها مدارکی را حاکی از تغییرات در ترکیب جوی در طول زمان در خود دارند.,آنها از قانون لایه‌گذاری پیروی می‌کنند که دلایلی برای انقراض گونه‌ها ارائه می‌دهد.
MDSA_2007_8_29,D,train,دانشمندان از مدل‌هایی استفاده می‌کنند که ویژگی‌های یک اتم را نشان می‌دهند. یک دانشمند باید از مدلی استفاده کند که,اولین مدلی باشد که توسعه یافته است,به تازگی توسعه یافته است,چیدمان را به وضوح بیشتری نشان می‌دهد,جزئیات لازم برای یک هدف خاص را نشان می‌دهد
Mercury_SC_405635,A,train,یک دانش‌آموز در حال اندازه‌گیری نقطه جوش یک مخلوط نمک و آب است. او یک اندازه‌گیری دما به مقدار ۱۰۵ درجه سانتی‌گراد انجام می‌دهد. بهترین راه برای اطمینان از صحت نتایج چه چیزی است؟,تحقیقات را تکرار کند,حجم آب را تغییر دهد,نمک بیشتری به مخلوط اضافه کند,تحقیقات را بدون نمک انجام دهد
TIMSS_2007_8_pg128,B,train,هنگامی که یک سیم در گیتار کشیده می‌شود، صدایی شنیده می‌شود. اگر همان سیم با نیروی بیشتری کشیده شود، چه اتفاقی برای صدا خواهد افتاد؟,سطح صدا ثابت باقی می‌ماند و نت بالاتر می‌رود.,نت ثابت باقی می‌ماند و سطح صدا بالاتر می‌رود.,هم نت و هم سطح صدا بالاتر می‌رود.,هم نت و هم سطح صدا ثابت باقی می‌ماند.
Mercury_SC_400377,D,train,منوال می‌خواهد در حیاط فضایی برای شستن سگ داشته باشد بدون اینکه گل و لای ایجاد کند. او می‌خواهد چیزی روی زمین بگذارد که آب به راحتی از آن عبور کند. کدامیک از این مواد برای او بهتر است؟,خاک رس,پلاستیک,خاک,سنگریزه
Mercury_7077700,C,train,اگر کتابی که روی یک میز صاف قرار دارد شروع به حرکت افقی کند، احتمالاً به دلیل چیست؟,نیروی متعادل در حال اعمال است.,نیروی اصطکاک در حال وارد شدن است.,نیروی نامتعادل در حال اعمال است.,نیروی گرانشی در حال وارد شدن است.
Mercury_7081025,B,train,یک دانش‌آموز بررسی می‌کند که سرعت چگونه در حینی که یک توپ از روی شیب پایین می‌رود تغییر می‌کند. اندازه‌گیری‌های صورت گرفته توسط کامپیوتر هر ثانیه در یک جدول داده ثبت می‌شود. کدام نمودار بهترین نمایش داده‌های این جدول خواهد بود؟,نمودار میله‌ای,نمودار خطی,نمودار دایره‌ای,نمودار تصویری
Mercury_7145530,C,train,هلن بررسی می‌کند که آنزیم‌ها چگونه برای فرآیندهای بدن اهمیت دارند. بهترین توضیح برای نقش آنزیم‌ها در فعالیت‌های بیوشیمیایی چیست؟,آنزیم‌ها در تمام سطوح pH کار می‌کنند.,آنزیم‌ها نرخ متابولیسم را کاهش می‌دهند.,آنزیم‌ها امکان وقوع واکنش‌ها را در دماهای پایین‌تر فراهم می‌کنند.,آنزیم‌ها انرژی فعال‌سازی لازم برای یک واکنش را افزایش می‌دهند.
