id,question_stem,choice_A,choice_B,choice_C,choice_D,answerKey,fact1,humanScore,clarity,turkIdAnonymized,source
12-328,"If a bird is avoiding detection by a cat simply by sitting still, it probably is also utilizing",eruptions,merging with background,flames,blending paint,B,camouflage is used for hiding by animals against predators,0.800000011920929,2.0,b356d338b7,train
12-329,A reflector is used to reflect,light edibles,dirt,solar heat,sunbeams,D,if an object is blue then that object reflects only blue light,0.800000011920929,1.7999999523162842,52dbc5c7af,train
12-330,"If a lake begins to overflow after swelling from a storm, species within that water source likely",propagate,stagnate,crash,stall,A,"as the available water in an environment increases , the populations of organisms in that environment will increase",1.0,2.0,b356d338b7,train
12-331,Which of the following would best describe why a lizard would live in a desert?,it can eat bugs and withstand very cold weather,it can eat fish and withstand very cold weather,it can eat bugs and withstand very hot weather,it can eat fish and withstand very cold weather,C,some lizards live in desert habitats,1.0,2.0,7b06152ffc,train
12-332,"If pollution is caused by many things, it is least likely to be caused by",using styrofoam,pedaling forward,driving cars,smoking cigarettes,B,riding a bike does not cause pollution,0.800000011920929,2.0,b356d338b7,train
12-333,Marine invertebrates are likely to be discovered in,rushing streams,backyard ponds,clam filled waters,local pools,C,coral lives in the ocean,0.800000011920929,1.399999976158142,b356d338b7,train
12-334,What purpose does a plant light serve?,Comfort them,replicate sunlight,Protect from bugs,Keep plants warm,B,a plant requires sunlight to grow,0.800000011920929,1.399999976158142,52dbc5c7af,train
12-335,How many revolutions does the moon make around the Earth during spring?,twelve,three,one,six,B,the moon is the celestial object that is closest to the Earth,0.800000011920929,1.2000000476837158,52dbc5c7af,train
12-336,Decomposer is a kind of role in our,environment,play,home,army,A,decomposer is a kind of role in an ecosystem,1.0,2.0,dc78319bb0,train
12-337,A badger is birthed with behaviors that are,learned,found,intuitive,useless,C,an animal knows how to do instinctive behaviors when it is born,1.0,2.0,dc78319bb0,train
12-338,Small fish can be safe swarming dangerous sharks when,they are hungry,they are symbiotic,they are starving,they are delicious,B,remora fish eat food by attaching themselves to sharks and eating the food left behind,1.0,1.7999999523162842,b356d338b7,train
12-339,A ship navigates with a magnetic compass because it is,predictable,unpredictable,waterproof,tradition,A,Earth 's magnetic patterns are used for finding locations by animals that migrate,1.0,2.0,52dbc5c7af,train
12-340,Which of the following substances likely contains plant seeds?,sweat,poop,urine,blood,B,plant requires seed dispersal for reproduction,1.0,2.0,7b06152ffc,train
12-341,"If a pork chop is underdone, the likelihood of illness spreading to consumers of it is",low,nil,extreme,zero,C,cooking food to proper temperatures protects against food poisoning by killing bacteria and viruses,0.800000011920929,1.7999999523162842,b356d338b7,train
12-342,"If a thing is going to be able to expand, it will require",nutriment,pipes,flounder,conversation,A,an organism requires energy for growth,1.0,1.399999976158142,b356d338b7,train
12-344,If a beach is below a farm it can make swimmers ill if,people go to the movies,field fluid drips down,humans enjoy eating meat,some cattle eat cheese,B,runoff is when cropland water enters bodies of water,1.0,2.0,b356d338b7,train
12-345,An animal that often lives in holes in the ground in fields has,long curly hair,round ears,four wings,rainbow stripes,B,mice live in in holes in the ground in fields,1.0,1.600000023841858,7189327f06,train
12-346,Which of the following relies on vibrating matter to work?,soda cans,dog food,baseball caps,violas,D,vibrating matter can produce sound,1.0,2.0,7b06152ffc,train
12-348,An example of a chemical change is,milk to yogurt,mixing marbles,my chemical romance,shredding paper,A,An example of a chemical change is acid breaking down substances,1.0,2.0,7c933a44d8,train
12-350,"if a beach ball explodes, which of these would be given off?",a flock of geese,a ton of sand,a release of air,a release of doves,C,a beach ball contains gas,1.0,2.0,cf7109905e,train
12-351,What is essential for a robot to possess to walk up a flight of stairs?,electricity,skittles,ethics,lava,A,a computer controls a robot,1.0,2.0,7c933a44d8,train
12-352,"If you find an animal that isnt breathing, it is safe to assume that thing",watched TV,cried,perished,laughed,C,if a living thing dies then that living thing is dead,1.0,2.0,bdb4135787,train
12-353,The moon has,Narwhales,Fairies,dead volcanoes,Unicorns,C,the moon 's surface contains highlands,0.800000011920929,1.399999976158142,cee82219a0,train
12-354,"Actress and goddess Jessica Alba wishes to help the environment by riding a bicycle. Dressed in a tantalizingly suggestive outfit, she propels herself by",dark angel wings,burning rocket fuel,using paparazzi cameras,using foot levers,D,pushing on the pedals of a bike cause that bike to move,0.800000011920929,1.399999976158142,7c933a44d8,train
12-355,"A boy hates summer with a burning passion, so luckily the longest he should ever have to endure the season is",twelve weeks,three years,nine months,two days,A,a new season occurs once per three months,0.800000011920929,1.399999976158142,b356d338b7,train
12-356,"If a bird is pecking at a bush for food, the bush can also eat if",munches on some berries,it fulfills its role,orders something it likes,kills a small deer,B,producer is a kind of role in the food chain process,0.800000011920929,0.800000011920929,b356d338b7,train
12-357,Buttercups can produce,their own nutrients,grow in space,ride horses,enter singing competitions,A,plant cells can perform photosynthesis,0.800000011920929,1.399999976158142,7c933a44d8,train
12-359,"Big flowers have more nectar than small flowers do. Because of this, which flowers will get the most bees?",space cadet,smaller ones,bigger ones,dead ones,C,"as the size of a flower increases , the number of pollinators it will attract increases",0.800000011920929,1.7999999523162842,bdb4135787,train
12-361,A reflective surface fogging up is,reflection,refraction,evaporation,condensation,D,a phase change is when matter changes from one state into another state,1.0,2.0,7c933a44d8,train
12-363,Inhaling O2 is a requirement of all,buried animals,living animals,stuffed animals,rocks,B,all animals breathe,1.0,2.0,dc78319bb0,train
12-364,"If substances are combined by pouring them together, they'll mix, such as",salt and oyster crackers,lettuce and roma tomato,coffee and hazelnut cream,whole milk and cheese,C,An example of combining two substances is pouring one substance into the other substance,1.0,1.7999999523162842,b356d338b7,train
12-365,If a flag is adjusted at great heights,something is pulled,something is ravaged,something is burned,something is gold,A,a pulley is used to lift a flag on a flagpole,0.800000011920929,1.600000023841858,b356d338b7,train
12-366,"Where would you point to as an example of condensation, if limited to an office building?",the beads on a cold root beer can,the pens leaking ink,the vapor rising from the coffee,the sprinkler system above,A,beads of water are formed by water vapor condensing,1.0,2.0,7b06152ffc,train
12-367,Which of the following is likely to be true?,thunder and lightning indicate that there will be acid rain,wind indicates a chance of rain,fire indicates that there will be rain,thunder and lightning indicate a great chance of rain,D,if weather is stormy then there is a greater chance of rain,1.0,2.0,7b06152ffc,train
12-368,Ecosystems,are made up of many plants and lack living animals,are communities with a plethora of living beings,only contain animals of the same species,are present only on certain continents,B,an ecosystem contains large numbers of living organisms in a particular place,1.0,1.7999999523162842,a8ecf6eaeb,train
12-370,"The more often wildfires take place on a space of land, the more often we will see",animal groups in decline,animal populations growing larger,more birds moving in,larger deer starting families,A,"as the supply of food in an environment decreases , the population of animals in that environment will decrease",1.0,2.0,b356d338b7,train
12-371,"During photosynthesis, plants produce sugar that may help with their what?",Babies,Love Handles,Belly,sustenance,D,sugars are transported from the leaves to the roots of a plant,1.0,2.0,cee82219a0,train
12-373,"If a bear has thick legs fur, then",her mom was very old,his hair is blonde,her arms are wide,his ancestors had the same,D,the thickness of the parts of an organism is an inherited characteristic,1.0,1.7999999523162842,b356d338b7,train
12-375,Which of these things would cause more racoons to hang out nearby?,shooting them as they come,cutting their hair at night,leaving lids off garbage cans,putting garbage cans inside the garage,C,raccoons eat waste,1.0,1.600000023841858,0317ce7c33,train
12-377,If Earth has poles that are magnetic,needles will glow in the dark because of them,needles will stab them,some poles will be radioactive,needles aim that way,D,a compass 's needle lines up with Earth 's magnetic poles,0.800000011920929,1.2000000476837158,b356d338b7,train
12-379,"If peas and carrots are planted alternately,",fields are useless,dirt is refreshed,sand is dried,water is poisoned,B,crop rotation renews soil,1.0,2.0,b356d338b7,train
12-380,Consumers eat other what?,oxygen,animal toys,rays,weaker bugs,D,consumers eat other organisms,0.800000011920929,1.2000000476837158,1e6dc77bb6,train
12-381,A yard can become a changed environment when,crows show up,humans see it,worms live there,vegetables are farmed,D,farming changes the environment,0.800000011920929,1.399999976158142,b356d338b7,train
12-382,You can produce what by burning natural gas?,snow,a warmer room,oxygen,water,B,natural gas is a source of heat by burning,1.0,1.7999999523162842,3f32b550f3,train
12-383,Chewying and swallowing a steak,serves it hot,breaks it down,losses energy,dies,B,break down means change from a whole into pieces,1.0,2.0,dc78319bb0,train
12-386,What is the source of cooling that turns lava into land?,seawater,refrigerators,air conditioning,glaciers,A,new land can be formed by volcanoes erupting by lava cooling,1.0,1.0,7b06152ffc,train
12-388,Smoking can also effect what besides themselves,wizards,space,Jonny and Susie,unicorns,C,smoking causes direct damage to the lungs,0.800000011920929,1.0,cee82219a0,train
12-389,Erosion can,Give me a hair cut,Create a beautiful painting,turn a statue to dust,Clean my car windows,C,wind causes erosion,1.0,1.7999999523162842,cee82219a0,train
12-391,Which is likeliest to be torn by a small child,foil,wood,steel,oil,A,tearing means changing a whole into pieces,1.0,2.0,7b06152ffc,train
12-392,Organic mass is gained in the earth by insect,JDZ clones,mushroom farmers,garbage eaters,trash removers,C,decomposition increases amount of organic matter in soil,1.0,1.399999976158142,dc78319bb0,train
12-394,one's ability to hear their name being called across the room indicates the presence of,gas in the stove,water in the walls,atmosphere in the space,water in the ears,C,sound can travel through air,1.0,1.600000023841858,cf7109905e,train
12-396,which of these could result in a person reaching their destination late?,a clear road path,a dry clear road,a road full of ice,a road without hills,C,skidding causes speed to decrease,1.0,2.0,cf7109905e,train
12-397,A resource that can be endlessly retrieved is,knobs,bricks,panels,droplets,D,water is a renewable resource,0.800000011920929,1.2000000476837158,b356d338b7,train
12-398,To keep a pet salamander healthy what would come in handy?,live house flies,a dog,plant fertilizer,snakes,A,a salamander eats insects,1.0,1.7999999523162842,3f32b550f3,train
12-399,An unseen force tugs at celestial bodies giving them,shape,luster,a trajectory,color,C,gravity causes orbits,0.800000011920929,1.7999999523162842,dc78319bb0,train
12-400,Catfish are what,cannibals,fairies,grapes,unicorns,A,predators eat prey,1.0,1.600000023841858,cee82219a0,train
12-401,"If a pull is strong somewhere, it likely has",snakes,magnitude,water,frames,B,gravitational force causes objects that have mass to be pulled down on a planet,1.0,1.399999976158142,b356d338b7,train
12-403,A tongue can adhere to metal if what occurs?,condensation,self-stimulation,evaporation,conduction,D,"when a cooler object touches a warmer object , thermal conduction occurs",0.800000011920929,0.4000000059604645,7c933a44d8,train
12-404,Neodymium can hold a car without being in it's,proximity,relocation services,talking,seeing each other,A,magnetism does not require contact between objects to act,1.0,0.4000000059604645,dc78319bb0,train
12-405,"A portion of the earth, and other planets is a layer which is composed of",large limestone bunkers,thick stone piles,mostly solid clay,silicate rocky shell,D,the mantle is a layer of the Earth,0.800000011920929,1.2000000476837158,b356d338b7,train
12-406,If we cut down trees from the rainforest what will suffer more?,Buildings,Cars,Space,Cats,D,cutting down trees in a forest causes the number of trees to decrease in that forest,0.800000011920929,1.2000000476837158,cee82219a0,train
12-407,"If a duck lays seven eggs and last year they laid zero eggs, this year they are",male,increasing young,producing zero,producing live young,B,"as the number of eggs laid by an animal increases , the number of eggs that hatch will increase",0.800000011920929,1.399999976158142,b356d338b7,train
12-408,The tree trunk is what holds up the,sky,roots,sky,leaves,D,a stem is a source of support for a plant,1.0,1.7999999523162842,dc78319bb0,train
12-411,"If an oak seed is placed in a compost pile in a garden, the garden's ecosystem will",be negatively disrupted forever,be made much worse,be altered in damaging ways,adjust in positive ways,D,planting trees has a positive impact on an ecosystem,1.0,1.75,b356d338b7,train
12-412,A person can bring harm to an animal habitat by,avoiding it,leaving it alone,building in it,ignoring it,C,humans changing animal habitats usually causes harm to those animals,1.0,2.0,b356d338b7,train
12-415,A foot uses force on spheres in,baseball,kickball,golf,hockey,B,if an object is kicked then force is exerted on that object,1.0,2.0,b356d338b7,train
12-416,Which is a positive impact on the bio environment?,dumping toxic waste in rivers,contaminating the ground with poison,building cars in large numbers,making sure trash is reused for new reasons,D,landfills have a negative impact on the environment,1.0,2.0,52dbc5c7af,train
12-417,Classes and categories are both part of,distraction,confusion,control,designating,D,classifying is when one sorts something by type,1.0,1.7999999523162842,dc78319bb0,train
12-418,"If a thing changes through a chemical process, it will have different and new chemical properties, such as",adding cats to a home,adding cream to tile,adding lemon juice to milk,adding salt to sand,C,if an object undergoes chemical change then that object will have new chemical properties,1.0,1.7999999523162842,b356d338b7,train
12-419,If steam chills then the vapor will,burn,melt,boil,thicken,D,water vapor cooling causes that water vapor to condense,0.800000011920929,2.0,b356d338b7,train
12-421,"If a day has passed, so has",most of a month,most of thirty hours,most of a week,most of a year,B,one day is equal to 24 hours,1.0,1.7999999523162842,b356d338b7,train
12-422,A child will share a physical trait such as this with parents due to DNA:,hair length,vacation days,nose shape,pet preference,C,DNA is a vehicle for passing inherited characteristics from parent to offspring,1.0,2.0,b356d338b7,train
12-425,a bird builds a nest in a tree before the forest was lumbered down. Which of these is a result?,the bird gets a bigger home,the bird gains more space,the bird loses its home,the bird is happy,C,if a habitat is removed then that habitat is destroyed,0.800000011920929,1.399999976158142,cf7109905e,train
12-426,"if a television stayed on for a prolonged period, what kind of energy might be a byproduct?",it will produce hydroponic energy,it will produce warmth,it will produce kinetic energy,it will produce hydro energy,B,electrical devices convert electricity into other forms of energy,0.800000011920929,1.399999976158142,cf7109905e,train
12-428,If an island is experiencing a hot summer it is because,of the water,of the axis,of the shade,of glaciers,B,summer is when a hemisphere is tilted towards the sun,0.800000011920929,1.600000023841858,b356d338b7,train
12-429,This keeps animals warm but it is possible to have too much,comfort,body fat,shelter,protection,B,fat is used to keep animals warm,0.800000011920929,1.7999999523162842,7b06152ffc,train
12-432,Why does a wolf eat rabbits?,to show rabbits they should stay away,to get the energy it needs to survive,because it hates rabbits,to show other wolves it is strong,B,living things all require energy for survival,1.0,1.7999999523162842,0317ce7c33,train
12-433,A peach pit holds the beginning,nutrients,high school students,water,pocket change,A,a seed is used for storing food for a new plant,1.0,1.7999999523162842,dc78319bb0,train
12-434,Wind energy is,unreal,careless,re-useable,noneffective,C,a windmill converts wind energy into electricity,1.0,1.600000023841858,cee82219a0,train
12-435,The mounds at the beach are made of,heavily buttered bagels,sauteed mushrooms,silica,high school students,C,sand dunes are made of sand,1.0,2.0,7c933a44d8,train
12-437,An example of electrical energy is,air,audio speakers,candles,grass,B,a light bulb converts electrical energy into light energy when it is turned on,0.800000011920929,1.2000000476837158,cee82219a0,train
12-438,When a hurricane glides over a continent it,runs for president,becomes an earthquake,increases in strength,decreases in strength,D,"when a hurricane moves over land , that hurricane will decrease in strength",1.0,1.7999999523162842,7c933a44d8,train
12-441,Weathering can,release a best selling album,create a black hole in the desert,turn a sculpture to dust,create a time traveling vortex,C,sediment is formed by weathering,1.0,1.600000023841858,cee82219a0,train
12-442,What happens when molten lava comes into contact with a car?,it freezes into a solid,it turns into a gas,it reaches its melting point,it flies up into the sky,C,melting point means temperature at which a solid melts,1.0,1.399999976158142,0317ce7c33,train
12-443,The temperature changing may produce,daisies,black holes,magic,time travel,A,temperature changing can cause phase changes,1.0,1.600000023841858,cee82219a0,train
12-444,A pollution source in a county may be,compost pile,grass seeds,recycling center,trash heap,D,an landfill is a source of pollution,1.0,1.7999999523162842,b356d338b7,train
12-445,"if a person gets a shock from a faulty system, which of these surfaces were likely touched?",a paper lined surface,a steel lined one,a wood lined one,a cotton line surface,B,metal is an electrical energy conductor,0.800000011920929,2.0,cf7109905e,train
12-448,Plankton can be the food as well as the creator of,water,magic,nourishment,alcohol,C,In the food chain process some types of plankton have the role of producer,1.0,2.0,dc78319bb0,train
12-451,Most of the pollutants in the air and in our world are there due to,wolves attacking deer,dolphins under water,man made reasons,naturally occurring reasons,C,humans cause pollution,1.0,2.0,b356d338b7,train
12-452,Beavers producing offspring after Winter impacts their life,neutrally,negatively,very little,positively,D,an animal being born when food is available has a positive impact on that animal 's health,0.800000011920929,1.600000023841858,7c933a44d8,train
12-453,Hummingbirds contribute to seed dispersal by,consuming flower sustenance,eating pizza,swimming in bleach,going to space,A,An example of seed dispersal is is an animal gathering seeds,1.0,2.0,cee82219a0,train
12-455,A person can eat a seed if they are consuming raw,soup,elk,fish,duku,D,humans sometimes eat seeds,0.800000011920929,1.600000023841858,b356d338b7,train
12-456,Undifferentiated cells in plants allow it to grow,in clouds,taller,without sunlight,without water,B,specialized tissues at the ends of plant stems are used for growing taller by plants,0.800000011920929,2.0,7c933a44d8,train
12-457,If a person is navigating then they are most likely,sitting indoors,holding a wheel,reading a book,laying in bed,B,An example of navigation is directing a boat,1.0,2.0,b356d338b7,train
12-458,"if a person needed two objects to be more alike in appearance, they could",burn both objects in fire,dip both objects in water,apply identical layers of pigmentation,destroy both the objects,C,painting an object a color causes that object to be that color,1.0,1.7999999523162842,cf7109905e,train
12-459,The building of a hotel caused many species to be,acclimated,celebrated,hunted,destroyed,D,humans changing an environment sometimes causes that environment to be destroyed,0.800000011920929,2.0,dc78319bb0,train
12-460,dissolving sugar in water will cause it to,turn bitter,evaporate faster,slightly warm,become sweet,D,dissolving a substance in water causes the water to taste like that substance,0.800000011920929,1.7999999523162842,9cc91104fa,train
12-462,"Animals eat food for the taste but also because without it, they would",Smile,TV,Shoes,expire,D,an animal needs to eat food for nutrients,1.0,2.0,bdb4135787,train
12-463,A sky that is mostly this color will likely be precipitating:,yellow,gold,blue,gray,D,grey clouds are a source of precipitation,1.0,2.0,b356d338b7,train
12-464,Who is likeliest to overuse hot water?,a rabbit,a squirrel,a bird,the Johnson family,D,a shower is a source of hot water for washing,1.0,2.0,7b06152ffc,train
12-465,The organ most made of muscle is the,one pumping blood,brain,liver,kidney,A,the heart is mostly made of muscle,0.800000011920929,2.0,dc78319bb0,train
12-466,As our globe makes a complete quick cycle it can and does see the passage of,multiple hours,eons,several years,decades,A,a Rotation of the Earth on itself takes one day,0.800000011920929,1.600000023841858,b356d338b7,train
12-467,Hawks eat,eggs,eagles,dogs,geckos,D,hawks eat lizards,0.800000011920929,1.399999976158142,dc78319bb0,train
12-468,A seismograph will be able to tell how much which thing is quivering?,bird,bunker,lemonade,jello,B,a seismograph is a kind of tool for measuring the size of an earthquake,0.800000011920929,1.2000000476837158,b356d338b7,train
12-469,Ice might be formed by,upper hemisphere,a flowing river,a temperature higher,hot reaction,A,"as temperature during the day increases , the temperature in an environment will increase",0.800000011920929,1.7999999523162842,52dbc5c7af,train
12-470,"If a warm potato is left on a steel sink, the potato will",burn,lose heat,get hotter,warm up,B,if a hot substance is touches a cold object then that substance will likely cool,0.800000011920929,1.600000023841858,b356d338b7,train
12-471,A faucet drips,lava,air,sand,melted ice,D,matter in the liquid state drips,1.0,2.0,dc78319bb0,train
12-472,A large thing that spews out destructive materials can,make babies,eat sandwiches,level planets,create towering hills,D,mountains are formed by volcanoes,0.800000011920929,1.399999976158142,b356d338b7,train
12-474,Which of the following statements is true,biofuel releases CO2 but is better than oil,biofuel is without flaws,biofuel can single-handedly end CO2 production,biofuel is perfect for the environment,A,biofuel releases carbon dioxide into the atmosphere,0.800000011920929,1.399999976158142,7b06152ffc,train
12-476,Water molecules descending from a high elevation in liquid form are known as,brimstone,fire,hail,rainfall,D,precipitation is when water falls from the sky,1.0,2.0,dc78319bb0,train
12-477,"If a cow eats only plants, it will avoid eating",hay,roots,thistles,venison,D,herbivores only eat plants,0.800000011920929,2.0,b356d338b7,train
12-478,You can find ferrous metals in,Glass,Grass,Vehicle scraps,Wood,C,rocks often contain large amounts of metal,1.0,2.0,52dbc5c7af,train
12-479,"In addition to a slippery road, blizzards can be dangerous to drive in because",you may only see a car in front of you when it's too late,snow might break your windshield,a lot of deer like to travel during blizzards,a tornado is likely to pick up your car,A,bad weather decreases visibility while driving,1.0,1.7999999523162842,3f32b550f3,train
12-481,"If you mow over a weed, it will just grow back. Pulling them by the root will make them",cry,perish,eat,laugh,B,if a weed is pulled then that weed is destroyed,1.0,2.0,bdb4135787,train
12-482,What might make a more musical sound,a bug,electrocution,a chopstick,space,C,musical instruments make sound when they are played,0.800000011920929,1.2000000476837158,cee82219a0,train
12-483,A way to illuminate a dark study is to,spread a good idea,introduce a spark to a wick,open a small box,put a book down,B,a candle is a source of light when it is burned,1.0,2.0,b356d338b7,train
12-484,A tugboat maneuvers a ship  to help,watch for sharks,load passengers,hold their anchor,increase their speed,D,a force continually acting on an object in the same direction that the object is moving can cause that object 's speed to increase in a forward motion,0.800000011920929,1.600000023841858,dc78319bb0,train
12-485,"If an apple tree wanted to spread it's seeds via another entity, it would",plant trees,feed birds,attract birds,drop seeds,C,birds sometimes eat insects,0.800000011920929,1.2000000476837158,52dbc5c7af,train
12-486,Keeping shopping bags out of the dump affects the earth,neutrally,positively,negatively,very little,B,recycling resources has a positive impact on the environment,1.0,2.0,dc78319bb0,train
12-487,Bluebirds have a strong sense of what?,Magic,Imagination,Family,Justice,C,bluebirds live in grassy spaces,1.0,1.0,cee82219a0,train
12-488,Tom and Bill were both pushing on a large plastic ball but it stayed in one place. Why?,the ball was being stubborn,the ball was large and made of iron,they were pushing from opposite sides using the same muscle power,the ball was 2 miles across,C,if two equal forces in opposite directions act on an object then that object will stay in the same place,0.800000011920929,1.2000000476837158,3f32b550f3,train
12-490,Small animals will leave their habitat and look for new shelter when there is a,less animals around,too much food,destruction,better food,C,rocks are a source of shelter for small animals in an environment,1.0,1.399999976158142,52dbc5c7af,train
12-491,When would the days be the longest 1000 miles north of the equator?,the same time that the nights are the longest,in the month of March,6 months after Christmas,in the fall season,C,the amount of daylight is greatest in the summer,0.800000011920929,1.600000023841858,3f32b550f3,train
12-493,"Rain storms and blizzards can be very dangerous to drive in due to the amount of precipitation they produce, which will do what to the roads visibility?",make it worse,Make it tasty,make it better,make it hot,A,a decrease in visibility while driving can cause people to crash their car,0.800000011920929,2.0,bdb4135787,train
12-494,"if a place has clean air, food, water and safe shelter for an animal, what would happen?",the species would have to emigrate,the species would thrive,the species would die off,that animal type would be depleted,B,"when a habitat can support living things , living things can live in that habitat",1.0,2.0,cf7109905e,train
12-495,which one of these items might have been a flower at some point?,a quartz stone in a ring,a bowl of chicken soup,an apple in the fridge,a piece of cake,C,some flowers become fruits,0.800000011920929,2.0,cf7109905e,train
12-496,A baby chick hatches and recognizes the mother bird above it from,the worms it ate,the birds it discovered,the warmth it provided,the leaves it saw,C,female birds sit in nests,1.0,1.7999999523162842,b356d338b7,train
12-501,"In saltwater, a squid's method of locomotion results in water being",pushed in front of it,sung about by Jethro Tull,displaced in the Great Lakes,displaced directly behind it,D,a squid produces thrust by pushing water out of its body,0.800000011920929,2.0,7c933a44d8,train
12-503,"Natural resources come from nature, so if humans are reckless when working with nature, the amount of resources will",go down,laugh,go up,fly away,A,nature is the source of natural resources,1.0,2.0,bdb4135787,train
12-504,Tiny nits may be seen best when using a,vision enhancing aid,series of mirrors,toothpick,glass eye,A,microscope is used to see small things by making them appear bigger,1.0,1.600000023841858,b356d338b7,train
12-506,Toggling a light switch on,completes a circuit,makes black holes,opens a circuit,breeds contempt,A,"when electricity flows to a light bulb , the light bulb will come on",0.800000011920929,2.0,7c933a44d8,train
12-508,"If a light needs to be relocated to another room without leaving that room physically, a person could",turn off all lights,throw it in the yard,get a new lamp,redirect it with reflections,D,a mirror is used for reflecting light,1.0,1.7999999523162842,b356d338b7,train
12-509,Which is most harmful to a human?,dynamite going off,reading email,balloons popping,opening a soda,A,explosions can cause harm to an organism,1.0,2.0,7c933a44d8,train
12-510,Cake tastes sweet because of,sweet and low,sucrose,flour,honey,B,sugar causes food to taste sweet,1.0,1.2000000476837158,dc78319bb0,train
12-511,"If a puppy is given only water for a very long time, it will",starve,need to hydrate,dehydrate,be thirsty,A,lack of food causes starvation,0.800000011920929,1.600000023841858,b356d338b7,train
12-512,"if a cloud deposits its contents to the earth, which of these may be true?",the moon will shine brighter,the open fair will be a success,the river will dry up,the farmers would rejoice,D,rain is a source of water,1.0,1.600000023841858,cf7109905e,train
12-515,Two birds in completely different houses can discuss something by,sitting,thinking,vocalizing,sleeping,C,sound can be used for communication by animals,1.0,2.0,b356d338b7,train
12-516,Which beverage can you thank Louis Pasteur for making possible?,iced tea,water,ginger ale,strawberry milk,D,Louis Pasteur invented pasteurization,1.0,2.0,7b06152ffc,train
12-517,A crust is a portion of,a shoe,a world,a cat,a knife,B,the crust is a layer of the Earth,1.0,1.399999976158142,b356d338b7,train
12-521,"Wildfires are exacerbated in part due to dangerously low moisture content in light fuels, commonly brought on by",periods of less than usual precipitation,torrential rains across the plains,too many firefighters with McLeods and Pulaskis,high moisture content on incident commanders' heads,A,drought may cause wildfires,1.0,2.0,7c933a44d8,train
12-522,A person who is trying something out for the first time that will have unpredictable reactions will,want zero protection,want safety goggles,want naked skin,want bare hands,B,safety goggles are used for protecting the eyes during experiments,1.0,1.7999999523162842,b356d338b7,train
12-524,Which is likely true?,two negatively charged iron ingots pull together,two negatively charged lemons pull together,two negatively charged rats pull together,two negatively charged dogs pull together,A,magnetic attraction pulls two objects together,1.0,1.399999976158142,7b06152ffc,train
12-526,Which likely sustains a bamboo shoot?,darkness,bees,nutrients,pandas,C,a living thing requires nutrients to grow,1.0,1.7999999523162842,7b06152ffc,train
12-530,Which is considered least important in the solar system?,Earth,Pluto,Mars,the Sun,B,pluto has not cleared its orbit,1.0,1.600000023841858,7b06152ffc,train
12-531,An example of an instinctive behavior is,doing a cartwheel outside,singing on a stage,eating a large pizza,a mother feeding the kids,D,An example of an instinctive behavior is a baby bird pecking at its shell to hatch,1.0,2.0,cee82219a0,train
12-532,Which is the best thing to do for a neighborhood?,growing local daffodils and weeding,spreading trash and garbage,planting fast spreading plants,introducing a new species,A,planting native plants has a positive impact on an ecosystem,1.0,1.7999999523162842,7b06152ffc,train
12-533,A person wanting to learn something new when they are very young will often try,running with the bulls,skydiving from a plane,swimming with great white sharks,rotating feet on pedals,D,a human can pedal a bicycle,0.800000011920929,1.2000000476837158,b356d338b7,train
12-535,A boy is playing with his toy boat in his wading pool. His mother comes along and sprays more water into the pool.,the boat flies,the boat swims,the boat drowns,the boat rises,D,"as the amount of water in a body of water increases , the water levels will increase",0.800000011920929,2.0,3f32b550f3,train
12-537,A seeing eye dog is able to do this better than his master:,open a door,speak out loud,talk to friends,observe visually,D,seeing is used for sensing visual things,1.0,1.7999999523162842,b356d338b7,train
12-538,A boy that has two legs and two arms has parents that have,nearly an arm and a leg,the same number limbs,their left arms only,one right leg each,B,the number of body parts of an organism is an inherited characteristic,1.0,1.2000000476837158,b356d338b7,train
12-540,What is a learned behavior?,a child eating,a child's sight,a child's hearing,a child swearing,D,animals learn some behaviors from watching their parents,1.0,2.0,7b06152ffc,train
12-541,Digestion is when stomach acid breaks down,a pizza,a house,a rock,a car,A,digestion is when stomach acid breaks down food,1.0,2.0,dc78319bb0,train
12-543,Who would refrain from eating a salad?,horses,cows,wolves,rabbits,C,carnivores only eat animals,1.0,2.0,7c933a44d8,train
12-544,"If a plant's extended portion is larger, it will",soak up more light,put out less pollen,be wilting very soon,fold in on itself,A,"as the size of a leaf increases , the amount of sunlight absorbed by that leaf will increase",0.800000011920929,1.399999976158142,b356d338b7,train
12-545,A small pile of worms can do what to a yard of dirt with dead squirrels in it?,blow it up,make it glisten,pull it apart,set it ablaze,C,decomposition is when a decomposer breaks down dead organisms,0.800000011920929,1.2000000476837158,b356d338b7,train
12-546,the availability of soil nutrients in the food chain can be explained by which of these?,the soil emanates nutrients into the air,the primary producers depend on the soil,all living things eat sand,the water we drink is from the soil,B,if some nutrients are in the soil then those nutrients are in the food chain,0.800000011920929,1.399999976158142,cf7109905e,train
12-547,"The desert rat has evolved traits that help it live with low supplies of water, what is this an example of?",acquired heuristics,acquired characteristics,acquired interests,acquired statistics,B,the condition of the parts of an organism are acquired characteristics,1.0,2.0,52dbc5c7af,train
12-548,I can see melting occur when,cleaning the bathroom,I bake macaroni,I run around,sewing a dress,B,melting is when solids are heated above their melting point,1.0,1.2000000476837158,cee82219a0,train
12-550,a typical rabbit diet includes,crickets,mice,fish,weeds,D,rabbits eat plants,0.800000011920929,1.399999976158142,9cc91104fa,train
