link,question_number,flores_passage,question,mc_answer1,mc_answer2,mc_answer3,mc_answer4,correct_answer_num,dialect,ds
https://en.wikivoyage.org/wiki/Victoria_Falls,1,ویکتوریا فالز شهری در قسمت غربی زیمبابوه، آن سوی مرز لیوینگ‌استون زامبیا و نزدیک بوتسوانا است. این شهر درست کنار آبشارها قرار دارد و آنها جاذبه اصلی شهر هستند، اما این مقصد گردشگری مشهور هم برای ماجراجویان و هم برای بازدیدکنندگان فرصت‌های زیادی را برای اقامت طولانی‌تر فراهم می‌کند. در فصل بارانی (نوامبر تا مارس)، حجم آب بالاتر و آبشارها هیجان‌انگیزتر خواهند بود. اگر از روی پل عبور کنید یا در مسیرهای پیاده روی نزدیک آبشارها قدم بزنید، خیس شدن شما تضمین شده است. از طرفی، دقیقاً به این دلیل است که حجم آب آنقدر بالاست که دید شما از اصل آبشار مبهم خواهد شد—یعنی به‌خاطر آب‌ها!,مطابق با متن، مسافرین اگر نمایی بدون مانع می‌خواهند،‌ چه زمانی باید از آبشارها بازدید کنند؟,ماه نوامبر تا ماه مارس,درطول فصل گردشگری,زمانی‌که حجم آب زیاد است,خارج از فصل بارانی,4,pes_Arab,2023-06-07
https://en.wikivoyage.org/wiki/Victoria_Falls,2,ویکتوریا فالز شهری در قسمت غربی زیمبابوه، آن سوی مرز لیوینگ‌استون زامبیا و نزدیک بوتسوانا است. این شهر درست کنار آبشارها قرار دارد و آنها جاذبه اصلی شهر هستند، اما این مقصد گردشگری مشهور هم برای ماجراجویان و هم برای بازدیدکنندگان فرصت‌های زیادی را برای اقامت طولانی‌تر فراهم می‌کند. در فصل بارانی (نوامبر تا مارس)، حجم آب بالاتر و آبشارها هیجان‌انگیزتر خواهند بود. اگر از روی پل عبور کنید یا در مسیرهای پیاده روی نزدیک آبشارها قدم بزنید، خیس شدن شما تضمین شده است. از طرفی، دقیقاً به این دلیل است که حجم آب آنقدر بالاست که دید شما از اصل آبشار مبهم خواهد شد—یعنی به‌خاطر آب‌ها!,مطابق با متن، جنبه مثبت بازدید از آبشار ویکتوریا بین ماه نوامبر و ماه مارس چیست؟,نمای بدون مانع از آبشارها,توریست‌های کمتر,نماهای چشمگیر از آبشارها,اجتناب از فصل بارانی,3,pes_Arab,2023-06-07
https://en.wikivoyage.org/wiki/Video_recording,1,قوانین مربوط به عکاسی عادی در مورد ضبط ویدیو نیز اعمال می شود، احتمالاً حتی بیشتر. اگر حتی عکسبرداری از چیزی مجاز نیست، بنابراین نباید به ضبط ویدیویی آن هم فکر کنیم. در صورت استفاده از پهباد، از قبل راجع به موارد مجاز فیلم‌برداری و مجوزها یا دیگر گواهی‌های مورد نیاز، درست تحقیق کنید. پرواز پهباد نزدیک فرودگاه یا بر فراز جمعیت تقریباً هیچ‌وقت فکر خوبی نیست، حتی اگر در منطقه شما غیرقانونی نباشد.,مطابق با متن، کدام‌یک از موارد زیر هنگام استفاده از پهباد برای فیلم‌برداری توصیه نمی‌شود؟,بررسی در ابتدا از اینکه مجاز به فیلم گرفتن از چه چیزی هستید,کسب مجوز بیشتر ,تحقیق درباره مجوزها,فیلم‌برداری فقط در محل‌های شلوغ که پهباد مشخص نباشد,4,pes_Arab,2023-06-07
https://en.wikivoyage.org/wiki/Video_recording,2,قوانین مربوط به عکاسی عادی در مورد ضبط ویدیو نیز اعمال می شود، احتمالاً حتی بیشتر. اگر حتی عکسبرداری از چیزی مجاز نیست، بنابراین نباید به ضبط ویدیویی آن هم فکر کنیم. در صورت استفاده از پهباد، از قبل راجع به موارد مجاز فیلم‌برداری و مجوزها یا دیگر گواهی‌های مورد نیاز، درست تحقیق کنید. پرواز پهباد نزدیک فرودگاه یا بر فراز جمعیت تقریباً هیچ‌وقت فکر خوبی نیست، حتی اگر در منطقه شما غیرقانونی نباشد.,مطابق با متن، بهترین مکان‌ها برای فیلم‌برداری با پهباد در کجاست؟,نزدیک جمعیت‌هایی که وجود پهباد مزاحمتی برای آنها ندارد,در محل‌هایی که عکاسی معمولی مجاز نیست,در مکان‌های شلوغ که پهباد کمتر قابل دید است,در محل‌هایی که مجوزهای قبلی برای آن دریافت کرده باشید,4,pes_Arab,2023-06-07
https://en.wikivoyage.org/wiki/Visa,1,ثبت نام یک الزام اضافی برای روند دریافت ویزا است. در برخی از کشورها، شما باید حضور خود و نشانی جایی که در آن اقامت دارید را در پیش مقامات محلی ثبت کنید. در اینجا ممکن است نیاز باشد برای پلیس محلی فرمی پر کنید یا سری به دفاتر مهاجرت بزنید. در بسیاری از کشورهایی که چنین قانونی دارند، هتل‌های محلی کار ثبت نام را انجام می دهند (حتما بپرسید). در موارد دیگر، فقط آنهایی که در خارج از مکان‌های توریستی اقامت دارند، نیاز به ثبت نام دارند. از آنجا که این قانون بسیار مبهم‌تر هم می‌شود، بهتر است از قبل به آن پی‌ببرید.,براساس متن، کدام عبارت درخصوص الزام ثبت برای روند دریافت ویزا صحیح نیست؟,اگر در اقامتگاه‌های توریستی می‌مانید، ممکن است نیازی به ثبت نداشته باشید,تمام کشورها نیاز به ثبت نزد مقامات محلی دارند,ممکن است نیاز به بازدید از دفاتر مهاجرتی باشد,دربرخی از مکان‌ها، هتل‌های محلی می‌توانند ثبت را انجام دهند,2,pes_Arab,2023-06-07
https://en.wikivoyage.org/wiki/Visa,2,ثبت نام یک الزام اضافی برای روند دریافت ویزا است. در برخی از کشورها، شما باید حضور خود و نشانی جایی که در آن اقامت دارید را در پیش مقامات محلی ثبت کنید. در اینجا ممکن است نیاز باشد برای پلیس محلی فرمی پر کنید یا سری به دفاتر مهاجرت بزنید. در بسیاری از کشورهایی که چنین قانونی دارند، هتل‌های محلی کار ثبت نام را انجام می دهند (حتما بپرسید). در موارد دیگر، فقط آنهایی که در خارج از مکان‌های توریستی اقامت دارند، نیاز به ثبت نام دارند. از آنجا که این قانون بسیار مبهم‌تر هم می‌شود، بهتر است از قبل به آن پی‌ببرید.,کدام‌یک از موارد زیر محلی نیست که توریست بخواهد برای انجام ثبت مراجعه کند؟,کلانتری محل,هتلی که در آن می‌مانند,اداره پست محلی,دفاتر مهاجرتی,3,pes_Arab,2023-06-07
https://en.wikivoyage.org/wiki/Volunteer_travel,1,کار داوطلبانه در خلال مسافرت راه فوق‌العاده‌ای است که شما هم نقشی ایفا کنید، اما موضوع فقط بخشش نیست. زندگی و انجام امور داوطلبانه در یک کشور خارجی روشی عالی برای شناخت فرهنگ متفاوت، ملاقات با افراد جدید، شناخت خود و بدست آوردن دیدگاه و حتی کسب مهارت‌های جدید است. همچنین می‌تواند راه خوبی برای تخصیص بودجه برای اقامت طولانی‌تر در جایی باشد زیرا بسیاری از کارهای داوطلبانه همراه با اتاق و تخت است و تعداد معدودی نیز حقوق کمی به همراه دارند.,چه کسی از کار داوطلبانه هنگام مسافرت سودی نخواهد برد؟,کسی که قصد دارد در خارج دوستان جدید پیدا کند,کسی که به‌دنبال حقوق چشمگیری است,کسی که امیدوار است مهارت جدیدی بدست آورد,کسی که ممکن است به اتاق و جای خواب علاقه‌مند باشد,2,pes_Arab,2023-06-07
https://en.wikivoyage.org/wiki/Volunteer_travel,2,کار داوطلبانه در خلال مسافرت راه فوق‌العاده‌ای است که شما هم نقشی ایفا کنید، اما موضوع فقط بخشش نیست. زندگی و انجام امور داوطلبانه در یک کشور خارجی روشی عالی برای شناخت فرهنگ متفاوت، ملاقات با افراد جدید، شناخت خود و بدست آوردن دیدگاه و حتی کسب مهارت‌های جدید است. همچنین می‌تواند راه خوبی برای تخصیص بودجه برای اقامت طولانی‌تر در جایی باشد زیرا بسیاری از کارهای داوطلبانه همراه با اتاق و تخت است و تعداد معدودی نیز حقوق کمی به همراه دارند.,مطابق با متن، کار داوطلبانه هنگام مسافرت در خارج چگونه برای مسافر با بودجه محدود مفید است؟,حقوق تقریباً همیشه ارائه می‌شود,معمولاً منجر به فرصت‌های شغلی می‌شود,گاهی اتاق و جای خواب ارائه می‌شود,می‌تواند به شما کمک کند یک نقطه نظر داشته باشید,3,pes_Arab,2023-06-07
https://en.wikivoyage.org/wiki/Walt_Disney_World,1,سفر به Walt Disney World سیاحت بزرگی برای بسیاری از خانواده‌های آمریکایی محسوب می‌شود. بازدید «عادی» شامل پرواز به فرودگاه بین‌المللی اورلاندو، حرکت با اتوبوس به یک هتل دیزنی در آن محل، گذراندن حدود یک هفته بدون ترک کردن املاک دیزنی و بازگشت به خانه است. امکان تغییرات نامتناهی وجود دارد، اما این همان چیزی که بیشتر مردم وقتی صحبت از «رفتن به دنیای دیزنی» می کنند، را باقی می گذارد. بسیاری از بلیط‌هایی که آنلاین فروخته شده‌اند از طریق وب‌سایت‌های حراج از قبیل eBay یا Craigslist بوده که بلیط‌های استفاده شده چند روزه برای بازدید پارک‌های متعدد است. این کار بسیار مرسوم است، اما دیزنی آن را ممنوع می‌داند: بلیط‌ها قابل انتقال نیستند.,مطابق با متن، چه چیز ممکن است در مورد سفر معمول به Walt Disney World غیرمعمول تلقی شود؟,گذراندن یک هفته سیاحت در پارک‌ها,اقامت در یک هتل خارج از محل,گذراندن کل سفر در املاک دیزنی,از فرودگاه تا هتل سوار اتوبوس شدن,2,pes_Arab,2023-06-07
https://en.wikivoyage.org/wiki/Walt_Disney_World,2,سفر به Walt Disney World سیاحت بزرگی برای بسیاری از خانواده‌های آمریکایی محسوب می‌شود. بازدید «عادی» شامل پرواز به فرودگاه بین‌المللی اورلاندو، حرکت با اتوبوس به یک هتل دیزنی در آن محل، گذراندن حدود یک هفته بدون ترک کردن املاک دیزنی و بازگشت به خانه است. امکان تغییرات نامتناهی وجود دارد، اما این همان چیزی که بیشتر مردم وقتی صحبت از «رفتن به دنیای دیزنی» می کنند، را باقی می گذارد. بسیاری از بلیط‌هایی که آنلاین فروخته شده‌اند از طریق وب‌سایت‌های حراج از قبیل eBay یا Craigslist بوده که بلیط‌های استفاده شده چند روزه برای بازدید پارک‌های متعدد است. این کار بسیار مرسوم است، اما دیزنی آن را ممنوع می‌داند: بلیط‌ها قابل انتقال نیستند.,کدام‌یک از عبارات زیر درباره Walt Disney World صحیح نیست؟, بلیط‌های استفاده شده پارک به سایر مسافرین قابل انتقال است.,اقامت در محل قابل دسترس است,اتوبوس‌هایی برای انتقال مسافرین از فرودگاه به املاک قابل دسترس است,بلیط‌های چندروزه اغلب در وب‌سایت‌های حراجی یافت می‌شود,1,pes_Arab,2023-06-07
https://en.wikivoyage.org/wiki/War_zone_safety,1,هر شخصی که قصد بازدید از کشوری را دارد که منطقه جنگی محسوب می‌شود باید تحت آموزش حرفه‌ای قرار گیرد. جستجو در اینترنت برای عبارت 'دوره محیطی متخاصم' احتمالاً آدرس یک شرکت محلی را نشان می دهد. یک دوره آموزشی معمولاً تمام مسائل مطروحه در اینجا را با جزئیات خیلی بیشتری تحت پوشش قرار می‌دهد و معمولاً‌ شامل تجربه عملی نیز می‌شود. یک دوره آموزشی معمولاً‌ 2 تا 5 روز طول می‌کشد و شامل نقش بازی کردن و حجم بالایی از آموزش کمک‌های اولیه و گاهی آموزش استفاده از سلاح می‌شود. کتاب‌ها و مجلاتی که به زنده ماندن در حیات وحش می‌پردازند خیلی زیاد است، ولی انتشاراتی که به مناطق جنگی بپردازند انگشت‌شمارند.,مطابق با متن، کدام‌یک از مشکلات زیر به احتمال زیاد در یک کلاس آموزش حرفه‌ای یا در انتشارات تحت پوشش نیست؟,زنده ماندن در حیات وحش ,آماده بودن برای انجام کمک‌های اولیه,آماده شدن برای مناطق جنگی,نقش بازی کردن,3,pes_Arab,2023-06-07
https://en.wikivoyage.org/wiki/War_zone_safety,2,هر شخصی که قصد بازدید از کشوری را دارد که منطقه جنگی محسوب می‌شود باید تحت آموزش حرفه‌ای قرار گیرد. جستجو در اینترنت برای عبارت 'دوره محیطی متخاصم' احتمالاً آدرس یک شرکت محلی را نشان می دهد. یک دوره آموزشی معمولاً تمام مسائل مطروحه در اینجا را با جزئیات خیلی بیشتری تحت پوشش قرار می‌دهد و معمولاً‌ شامل تجربه عملی نیز می‌شود. یک دوره آموزشی معمولاً‌ 2 تا 5 روز طول می‌کشد و شامل نقش بازی کردن و حجم بالایی از آموزش کمک‌های اولیه و گاهی آموزش استفاده از سلاح می‌شود. کتاب‌ها و مجلاتی که به زنده ماندن در حیات وحش می‌پردازند خیلی زیاد است، ولی انتشاراتی که به مناطق جنگی بپردازند انگشت‌شمارند.,مطابق با متن، پوشش کدام‌یک از موضوعات زیر در یک کلاس آموزش حرفه‌ای بیشترین احتمال را دارد؟,کمک‌های اولیه,مناطق جنگی,زنده ماندن در حیات وحش,محیط‌های متخاصم ,1,pes_Arab,2023-06-07
https://en.wikivoyage.org/wiki/Water,1,روش‌های گوناگونی برای تصفیه آب وجود دارد، برخی از آنها در برابر تهدیدهای خاص مؤثرتر هستند. در برخی از مناطق جوشاندن آب برای یک دقیقه کافی است، و در برخی دیگر لازم است چند دقیقه جوشانده شود. فیلترها از نظر اثربخشی تفاوت دارند و اگر از این بابت نگرانی دارید، باید در نظر داشته باشید که آب آشامیدنی خود را در بطری‌های بسته‌بندی شده از یک شرکت معتبر خریداری کنید.,مطابق با متن، بهترین گزینه برای اجتناب از آب احتمالاً آلوده چیست؟,جوشاندن آن برای چندین دقیقه,خرید بطری آب,جوشاندن آب برای یک دقیقه,دسترسی به آب مختص خطرات خاص,2,pes_Arab,2023-06-07
https://en.wikivoyage.org/wiki/Water_safety,1,جریان‌های شکافنده عبارتند از جریان برگشتی از امواج که از ساحل به سمت دریا حرکت می‌کنند، که غالباً در صخره یا مکانی مشابه روی می‌دهد. جریان بازگشتی بدلیل توپولوژی زیر آب در چند بخش عمیق‌تر تمرکز دارد و جریان سریعی به سمت اعماق آب ممکن است در آنجا رخ دهد. اغلب مرگ و میرها در اثر خستگی ناشی از تلاش برای شنا کردن در خلاف جهت جریان موج اتفاق می‌افتد، که می‌تواند غیرممکن باشد. به محض اینکه از جریان خارج شوید، با شنا بازگشتن از شرایط معمول سخت‌تر نخواهد بود. سعی کنید جایی را هدف قرار دهید که دوباره گیر نیفتید یا، با توجه به مهارت‌هایتان، و اینکه متوجه حضورتان شده‌اند یا نه، می‌توانید برای عملیات نجات منتظر بمانید.,مطابق با متن، چه چیز می‌تواند تقریباً حتی برای شناگرهای ماهر غیرممکن باشد؟,شنا کردن در مجاورت صخره آبی,شنا کردن در آب عمیق,شنا کردن خلاف جریان,شنا کردن دور موج‌ها,3,pes_Arab,2023-06-07
https://en.wikivoyage.org/wiki/Water_safety,2,جریان‌های شکافنده عبارتند از جریان برگشتی از امواج که از ساحل به سمت دریا حرکت می‌کنند، که غالباً در صخره یا مکانی مشابه روی می‌دهد. جریان بازگشتی بدلیل توپولوژی زیر آب در چند بخش عمیق‌تر تمرکز دارد و جریان سریعی به سمت اعماق آب ممکن است در آنجا رخ دهد. اغلب مرگ و میرها در اثر خستگی ناشی از تلاش برای شنا کردن در خلاف جهت جریان موج اتفاق می‌افتد، که می‌تواند غیرممکن باشد. به محض اینکه از جریان خارج شوید، با شنا بازگشتن از شرایط معمول سخت‌تر نخواهد بود. سعی کنید جایی را هدف قرار دهید که دوباره گیر نیفتید یا، با توجه به مهارت‌هایتان، و اینکه متوجه حضورتان شده‌اند یا نه، می‌توانید برای عملیات نجات منتظر بمانید.,اگر در یک جریان گیر کردید، چه کاری باید انجام دهید؟,سعی کنید با شنا به طرف جهت دیگر از جریان خارج شوید، سپس به‌طور عادی به ساحل برگردید,خلاف جهت جریان سریع شنا کنید,در جهت معکوس شنا کنید,در زیر سطح شنا کنید,1,pes_Arab,2023-06-07
https://en.wikivoyage.org/wiki/Waterways,1,آبراه‌های گذرنده از میان خشکی می‌تواند انتخاب خوبی برای گذراندن تعطیلات باشد. به عنوان مثال بازدید از قلعه ها در دره لوآر، دره راین یا مسافرت به مکان‌های جالب در دانوب یا قایقرانی در امتداد کانال اری. آنها همچنین مسیر‌های پیاده‌روی و دوچرخه سواری محبوب را تعیین می کنند.,مطابق متن، بازدید از یک قلعه در کدام محل می‌تواند ارزش سفر در تعطیلات را داشته باشد؟,شهری در امتداد دانوب,در کنار کانال اری,در دره راین,نزدیک هر آبراه گذرنده از میان خشکی,3,pes_Arab,2023-06-07
https://en.wikivoyage.org/wiki/West_Africa,1,در شمال، این منطقه توسط ساحل صحرا و از جنوب و غرب توسط اقیانوس اطلس احاطه شده است. زنان: توصیه می شود که مسافران زن فارغ از وضعیت واقعی تاهل‌شان، بگویند که ازدواج کرده‌اند. به دست کردن یک حلقه نیز سودمند است (نه لزوماً حلقه‌ای که گران‌قیمت بنظر برسد. زن ها باید تشخیص دهند که تفاوت‌های فرهنگی ممکن است منجر به رخدادهایی شود که از نظر آنها آزار دهنده باشد و بعید نیست که کسی دنبال آنها بیافتد و دستشان را بگیرد و غیره. در مأیوس کردن مردها قاطع باشید و بدون ترس مقاومت کنید (چه تفاوت‌ها فرهنگی باشد یا خیر، وضعیت را بهتر نمی‌کند!),مطابق با متن، کدام‌یک از موارد زیر نکته خوبی برای زنانی که در این محل مسافرت می‌کنند نخواهد بود؟,خودداری از صحبت کردن درباره وضعیت تأهل,آگاه بودن از اینکه تفاوت‌های فرهنگی ممکن است رفتار خشن محلی‌ها را تحریک کند,اجتناب از پوشیدن جواهرات پر زرق و برق,جدی بودن برحسب لزوم,1,pes_Arab,2023-06-07
https://en.wikivoyage.org/wiki/West_Africa,2,در شمال، این منطقه توسط ساحل صحرا و از جنوب و غرب توسط اقیانوس اطلس احاطه شده است. زنان: توصیه می شود که مسافران زن فارغ از وضعیت واقعی تاهل‌شان، بگویند که ازدواج کرده‌اند. به دست کردن یک حلقه نیز سودمند است (نه لزوماً حلقه‌ای که گران‌قیمت بنظر برسد. زن ها باید تشخیص دهند که تفاوت‌های فرهنگی ممکن است منجر به رخدادهایی شود که از نظر آنها آزار دهنده باشد و بعید نیست که کسی دنبال آنها بیافتد و دستشان را بگیرد و غیره. در مأیوس کردن مردها قاطع باشید و بدون ترس مقاومت کنید (چه تفاوت‌ها فرهنگی باشد یا خیر، وضعیت را بهتر نمی‌کند!),براساس منطقه‌ای که در متن توصیف شد، چه چیز نکته مفید برای مسافران زن خواهد بود؟,بدانید که دنبال شدن رایج نیست,یک انگشتر بزرگ برای نشان دادن وضعیت تأهل بدست کنید,بدانید که تفاوت‌های فرهنگی یعنی از مقاومت دست بردارید,درصورتی‌که ناخواسته به شما نزدیک شوند، محکم باشید و مردها را پس بزنید,4,pes_Arab,2023-06-07
https://en.wikivoyage.org/wiki/Wildlife_photography,1,حیات وحش جزء پرچالش‌ترین سوژه‌های عکاسان بوده و مستلزم شانس خوب، صبر، تجربه و تجهیزات مناسب است. عکاسی از حیات وحش غالباً کمتر ارزش شناخته می‌شود، اما به طور کلی همانند عکاسی، ارزش یک عکس از هزار کلمه بیشتر است. برای عکسبرداری از حیات وحش غالباً به لنزهای بلند تله‌فوتو نیاز است، گرچه چیزهایی مثل دسته پرندگان یا موجودات کوچک به لنزهای دیگر نیاز دارد. بسیاری از حیوانات خاص را به سختی می‌توان پیدا کرد و گاهی پارک‌ها قوانینی در رابطه با گرفتن عکس برای مقاصد تجاری دارند. حیوانات وحشی ممکن است خجالتی یا پرخاشگر باشند. محیط ممکن است سرد، گرم یا درغیراین‌صورت خصمانه باشد.,براساس متن، کدام سناریو ممکن است عکاس حیات وحش را ملزم بدارد که از لنز تخصصی استفاده کند؟, اینکه به‌طور ویژه از موجودات کوچک عکس بگیرند,اینکه عکس‌ها برای اهداف تجاری استفاده شوند,اینکه حیواناتی که عکس گرفته می‌شوند خجالتی باشند,اینکه آیا پارکی مقررات خاصی درخصوص عکاسی حیات وحش دارد یا خیر,1,pes_Arab,2023-06-07
https://en.wikivoyage.org/wiki/Wildlife_photography,2,حیات وحش جزء پرچالش‌ترین سوژه‌های عکاسان بوده و مستلزم شانس خوب، صبر، تجربه و تجهیزات مناسب است. عکاسی از حیات وحش غالباً کمتر ارزش شناخته می‌شود، اما به طور کلی همانند عکاسی، ارزش یک عکس از هزار کلمه بیشتر است. برای عکسبرداری از حیات وحش غالباً به لنزهای بلند تله‌فوتو نیاز است، گرچه چیزهایی مثل دسته پرندگان یا موجودات کوچک به لنزهای دیگر نیاز دارد. بسیاری از حیوانات خاص را به سختی می‌توان پیدا کرد و گاهی پارک‌ها قوانینی در رابطه با گرفتن عکس برای مقاصد تجاری دارند. حیوانات وحشی ممکن است خجالتی یا پرخاشگر باشند. محیط ممکن است سرد، گرم یا درغیراین‌صورت خصمانه باشد.,کدام‌یک از موارد زیر به‌عنوان یک چالش بالقوه برای عکاسان حیات وحش در متن ذکر نشده است؟,یافتن برخی از حیوانات عجیب,مواجهه با حیوانات پرخاشگر,تأمین نوع لنزهای مورد نیاز,کار کردن در محیط‌های بالقوه خصمانه,3,pes_Arab,2023-06-07
https://en.wikivoyage.org/wiki/Winter_driving,1,هرکس قصد رانندگی در عرض‌های بالای جغرافیایی یا گذرگاه‌های بالای کوه را دارد، باید احتمال برف، یخ یا دمای انجماد را در نظر بگیرد. در جاده‌های یخی و برفی اصطکاک کم است و نمی‌توانید آن‌طور که روی آسفالت لخت هستید، رانندگی کنید. موقع کولاک، برف می‌تواند در یک لحظه آنقدر شدید ببارد که شما را گیر بیندازد. همچنین ممکن است با ریزش یا وزش برف یا از طریق متراکم شدن یا وجود یخ روی پنجره وسیل نقلیه، میزان دید محدود شود. از طرف دیگر، شرایط یخ و برف در بسیاری از کشورها عادی است و عبور و مرور اکثراً در طول سال بدون بروز وقفه در جریان است.,کدام‌یک از موارد زیر احتمالاً سبب کمترین مشکلات برای راننده‌ای می‌شود که از طریق گذرگاه‌های کوهستانی مسافرت می‌کند؟,ترافیک سنگین ,اصطکاک کم,تراکم زیاد,کاهش دید,1,pes_Arab,2023-06-07
https://en.wikivoyage.org/wiki/Working_abroad,1,به‌طورکلی کار در خارج از کشور به این معنی است که باید مالیات بر درآمد خود را در کشوری که در آن حضور دارید بپردازید، مگر اینکه یک دیپلمات باشید. مالیات بر درآمد در کشورهای مختلف ساختار متفاوتی دارد و نرخ‌های مالیاتی و جدول مالیاتی از کشوری به کشور دیگر بسیار متغیر است. در برخی از کشورهای فدرال نظیر ایالات متحده و کانادا، مالیات بر درآمد در سطح فدرال و سطح منطقه‌ای اتخاذ می‌شود، از این رو نرخ‌ها و جداول مالیاتی می‌تواند در هر منطقه متفاوت باشد.,چه چیز احتمالاً درباره مالیات بر درآمد در کشورهای مختلف یکپارچه می‌ماند؟,نرخ‌ها,ساختار,محلی که ثبت می‌کنید,براکت‌های مالیاتی,3,pes_Arab,2023-06-07
https://en.wikivoyage.org/wiki/Working_abroad,2,به‌طورکلی کار در خارج از کشور به این معنی است که باید مالیات بر درآمد خود را در کشوری که در آن حضور دارید بپردازید، مگر اینکه یک دیپلمات باشید. مالیات بر درآمد در کشورهای مختلف ساختار متفاوتی دارد و نرخ‌های مالیاتی و جدول مالیاتی از کشوری به کشور دیگر بسیار متغیر است. در برخی از کشورهای فدرال نظیر ایالات متحده و کانادا، مالیات بر درآمد در سطح فدرال و سطح منطقه‌ای اتخاذ می‌شود، از این رو نرخ‌ها و جداول مالیاتی می‌تواند در هر منطقه متفاوت باشد.,مطابق با متن، اگر در خارج کار می‌کنید، اما درجای دیگر مستقر هستید، مالیات‌های بر درآمد خود را احتمالاً در کجا ثبت خواهید کرد؟,هرجایی که معمولاً مستقر هستید,در ایالات متحده,در کشوری که در حال حاضر در آن کار می‌کنید,هرجایی که هزینه‌ها کمترین است,1,pes_Arab,2023-06-07
https://en.wikivoyage.org/wiki/World%27s_Fair,1,نمایشگاه جهانی (که به انگلیسی معمولاً World Exposition یا Expo نامیده می‌شود) یک جشنواره بین‌المللی بزرگ از هنر و علوم است. کشورهای شرکت‌کننده در غرفه‌های ملی آثار هنری و آموزشی خود را به نمایش می‌گذارند تا مسائل جهانی یا فرهنگ و تاریخ کشورشان را به نمایش بگذارند. نمایشگاه‌های بین‌المللی باغبانی علمی رویدادهای تخصصی هستند که گل، باغ‌های گیاه‌شناسی و همه موارد مربوط به گیاهان را به نمایش می‌گذارند. اگرچه در تئوری آنها می توانند سالانه (اما از آنجا که در کشورهای مختلف حضور دارند) برگزار شوند، در عمل چنین نیست. این رویدادها معمولاً‌ بین سه تا شش ماه در مکان‌هایی که حداقل 50 هکتار وسعت دارند برگزار می‌شود.,کدام‌یک از موارد زیر به‌طور دقیق یک نمایشگاه جهانی را توصیف نمی‌کند؟,ویترین‌ها ممکن است نشان‌دهنده تاریخ یا فرهنگ یک کشور باشد,ویترین‌های گیاه‌شناختی در کنار ویترین‌های هنری و آموزشی نشان داده می‌شوند,رویدادها می‌تواند تا شش ماه به‌طول بیانجامد,کشورها ملزم به مشارکت نیستند,2,pes_Arab,2023-06-07
https://en.wikivoyage.org/wiki/World%27s_Fair,2,نمایشگاه جهانی (که به انگلیسی معمولاً World Exposition یا Expo نامیده می‌شود) یک جشنواره بین‌المللی بزرگ از هنر و علوم است. کشورهای شرکت‌کننده در غرفه‌های ملی آثار هنری و آموزشی خود را به نمایش می‌گذارند تا مسائل جهانی یا فرهنگ و تاریخ کشورشان را به نمایش بگذارند. نمایشگاه‌های بین‌المللی باغبانی علمی رویدادهای تخصصی هستند که گل، باغ‌های گیاه‌شناسی و همه موارد مربوط به گیاهان را به نمایش می‌گذارند. اگرچه در تئوری آنها می توانند سالانه (اما از آنجا که در کشورهای مختلف حضور دارند) برگزار شوند، در عمل چنین نیست. این رویدادها معمولاً‌ بین سه تا شش ماه در مکان‌هایی که حداقل 50 هکتار وسعت دارند برگزار می‌شود.,کدام‌یک از موارد زیر یک قانون نمایشگاه جهانی یا بین‌المللی است؟,ویترین‌ها باید هم تاریخ کشور و هم مشکلات جهانی را نشان دهد,همان کشور نمی‌تواند بر مبنای سالانه میزبان رویدادها باشد,رویدادها باید تا شش ماه طول بکشند,برای برگزاری نمایشگاه، تمام کشورها باید مشارکت کنند,2,pes_Arab,2023-06-07
https://en.wikivoyage.org/wiki/Yellowstone_National_Park,1,اگرچه بسیاری از حیوانات در پارک به دیدن انسان‌ها عادت دارند، اما با این وجود حیات وحش وحشی است و نباید در آن به حیوانات غذا داد یا آن را آشفته کرد. طبق دستور مسئولین پارک، حداقل 100 متر از خرس‌ها و گرگ‌ها و 25 متر از سایر حیوانات حیات وحش فاصله داشته باشید! بوفالوی آمریکایی، گوزن، گوزن شمالی، خرس و تقریباً همه حیوانات بزرگ هرچقدر هم که رام‌شدنی بنظر برسند، می‌توانند حمله کنند. هرساله ده‌ها بازدیدکننده به‌خاطر عدم رعایت فاصله مناسب مصدوم می‌شوند. اینها حیواناتی بزرگ، وحشی، و ذاتاً خطرناک هستند، پس به حریم آنها وارد نشوید. علاوه بر این، توجه داشته باشید که بوها خرس‌ها و سایر حیوانات وحشی را به سمت خود می‌کشند، بنابراین از حمل یا پختن غذاهای بودار خودداری کنید و اردوگاه را تمیز نگهدارید.,انجام کدام‌یک از موارد زیر احتمال حمله یک حیوان را کاهش می‌دهد؟,حمل کردن گیاه‌های معطر,برداشتن آشغال از محل اردو,حفظ فاصله 25 یاردی از گرگ‌ها,باز داشتن حیوانات با تکه‌های دور ریختنی غذا,2,pes_Arab,2023-06-07
