row_id,question_id,actual_answer,prediction,is_correct,split,question_fa,choice_A_fa,choice_B_fa,choice_C_fa,choice_D_fa,original_tokens,trim_percent,target_token_limit,original_explanation,rewritten_explanation
566,Mercury_406888,B,B,1,train,کدام اندازه‌گیری حرکت یک توپ لاستیکی را توصیف می‌کند؟,۵ سانتی‌متر,۱۰ متر بر ثانیه,۱۵ نیوتن,۵۰ گرم,84,100,84,حرکت یک توپ لاستیکی به سرعت آن بستگی دارد و بهترین توصیف برای حرکت، سرعت است. گزینه 10 متر بر ثانیه (m/s) به عنوان یک واحد اندازه‌گیری سرعت، مناسب‌ترین گزینه برای توصیف حرکت توپ لاستیکی می‌باشد. سایر گزینه‌ها به ویژگی‌های دیگر مانند اندازه، نیرو یا جرم اشاره دارند که به طور مستقیم به حرکت مربوط نمی‌شوند.,حرکت یک توپ لاستیکی با سرعت آن توصیف می‌شود. گزینه ۱۰ متر بر ثانیه (m/s) بهترین گزینه برای بیان سرعت و حرکت توپ است. سایر گزینه‌ها به ویژگی‌های دیگری مانند اندازه، نیرو یا جرم اشاره دارند که مستقیماً به حرکت مرتبط نیستند.
567,Mercury_SC_405460,D,D,1,train,برخی از انواع داروها می‌توانند برای درمان افراد در زمان بیماری مورد استفاده قرار گیرند. با این حال، برخی از داروها ممکن است باعث واکنش‌های منفی در افرادی که آن‌ها را مصرف می‌کنند شوند. این تفاوت نمونه‌ای از,استفاده از فناوری برای کمک به درمان افراد.,روش‌های پزشکی که برای آسیب رساندن به افراد استفاده می‌شوند.,داروهای گران‌قیمت که برای اهداف مختلف استفاده می‌شوند.,حل یک مشکل که باعث بروز مشکل دیگری می‌شود.,81,100,81,این تفاوت نشان‌دهنده این است که یک راه‌حل (دارو) می‌تواند به درمان یک مشکل (بیماری) کمک کند، اما در عین حال ممکن است باعث ایجاد مشکل دیگری (واکنش‌های نامطلوب) شود. بنابراین، این مثال به وضوح نشان‌دهنده این است که یک راه‌حل می‌تواند به بروز مشکلات جدید منجر شود.,این تفاوت نشان می‌دهد که یک راه‌حل (دارو) می‌تواند به درمان یک مشکل (بیماری) کمک کند، اما در عین حال ممکن است مشکلات جدیدی (واکنش‌های منفی) ایجاد کند. بنابراین، این مثال نشان‌دهنده این است که یک راه‌حل می‌تواند به بروز مشکلات جدید منجر شود.
568,NYSEDREGENTS_2007_4_22,A,A,1,train,کاهش دما از ۶۰ درجه فارنهایت به ۳۵ درجه فارنهایت بیشتر احتمالاً باعث می‌شود فردی,لرزش کند,عرق بریزد,چشم‌هایش را بزند,احساس خواب‌آلودگی کند,70,100,70,کاهش دما از 60°F به 35°F باعث می‌شود که بدن انسان برای حفظ دما و جلوگیری از سرما، واکنش‌هایی مانند لرزیدن را نشان دهد. لرزیدن یک واکنش طبیعی است که به تولید گرما در بدن کمک می‌کند و در شرایط سرد به طور معمول اتفاق می‌افتد.,کاهش دما از ۶۰°F به ۳۵°F باعث می‌شود بدن برای حفظ دما، واکنش‌هایی مانند لرزیدن را نشان دهد. لرزیدن به تولید گرما کمک کرده و در شرایط سرد طبیعی است.
569,Mercury_7221795,D,D,1,train,به عنوان بخشی از یک مطالعه، یک دانشمند تغییرات مولکولی مختلفی را در ماده مشاهده کرد. کدام یک از مشاهدات زیر شواهدی از یک تغییر فیزیکی را ارائه می‌دهد؟,استفاده از حرارت برای سوزاندن یک چوب در شومینه,استفاده از نور برای تولید قند در گیاهان,یک کیک که از مواد مختلف پخته شده است,یک بطری که به تکه‌های کوچک شکسته شده است,78,100,78,شکستن یک بطری به تکه‌های کوچک، یک تغییر فیزیکی است زیرا در این فرآیند فقط شکل و اندازه ماده تغییر می‌کند و ترکیب شیمیایی آن دست نخورده باقی می‌ماند. در تغییرات فیزیکی، مواد می‌توانند به حالت‌های مختلفی تبدیل شوند بدون اینکه خواص شیمیایی آنها تغییر کند.,شکستن یک بطری به تکه‌های کوچک، تغییر فیزیکی است زیرا فقط شکل و اندازه ماده تغییر می‌کند و ترکیب شیمیایی آن دست نخورده باقی می‌ماند. در تغییرات فیزیکی، خواص شیمیایی مواد تغییر نمی‌کند.
570,ACTAAP_2009_7_17,C,C,1,train,در گیاهان، کدام یک تولید مثل جنسی را توصیف می‌کند اما تولید مثل غیرجنسی را نه؟,پنج شاخه بر روی یک درخت پیوند زده می‌شوند.,گیاهان جدید از قطعات دیگر گیاهان رشد می‌کنند.,یک تخمک بارور شده تقسیم می‌شود تا یک جنین تولید کند.,نسل‌های جدیدی تولید می‌شوند که همان اطلاعات ژنتیکی والد را دارند.,91,100,91,تولید مثل جنسی در گیاهان شامل لقاح و تشکیل تخمک بارور است که سپس تقسیم می‌شود و جنین را تولید می‌کند. این فرآیند به ترکیب ژنتیکی والدین نیاز دارد و منجر به تولید نسل‌های جدید با تنوع ژنتیکی می‌شود، در حالی که تولید مثل غیرجنسی به این شکل نیست و معمولاً شامل تولید مثل از طریق قطعات گیاه است.,تولید مثل جنسی در گیاهان شامل لقاح و تشکیل تخمک بارور است که به ترکیب ژنتیکی والدین نیاز دارد و نسل‌های جدیدی با تنوع ژنتیکی تولید می‌کند. در مقابل، تولید مثل غیرجنسی از طریق قطعات گیاه انجام می‌شود و نیازی به لقاح ندارد. بنابراین، گزینه C که به تولید جنین از تخمک بارور اشاره دارد، تولید
571,Mercury_410707,D,D,1,train,برخی از گیاهان غیر بومی می‌توانند سریع‌تر از برخی گیاهان یا محصولات بومی به محیط‌های خود سازگار شوند. کدام یک از این سازگاری‌ها کمتر احتمال دارد که به یک گیاه غیر بومی در بقا در یک محیط جدید کمک کند؟,داشتن تعداد زیادی دانه,داشتن مقاومت در برابر علف‌کش‌ها,داشتن ریشه‌هایی که به سرعت توسعه می‌یابند,داشتن برگ‌هایی که به آرامی شکل می‌گیرند,105,100,105,داشتن برگ‌هایی که به آرامی شکل می‌گیرند، به احتمال زیاد کمکی به بقا و سازگاری یک گیاه غیر بومی در محیط جدید نخواهد کرد. زیرا این ویژگی می‌تواند رشد و توسعه گیاه را کند کرده و توانایی آن را برای رقابت با گیاهان بومی و استفاده از منابع محدود کاهش دهد. در حالی که سایر ویژگی‌ها مانند تولید تعداد زیادی بذر یا مقاومت به علف‌کش‌ها می‌توانند به سازگاری بهتر کمک کنند.,داشتن برگ‌هایی که به آرامی شکل می‌گیرند، به بقا و سازگاری یک گیاه غیر بومی در محیط جدید کمک نمی‌کند. این ویژگی می‌تواند رشد گیاه را کند کرده و توانایی رقابت با گیاهان بومی و استفاده از منابع محدود را کاهش دهد. در مقابل، ویژگی‌هایی مانند تولید زیاد بذر یا مقاومت به علف‌کش‌ها می‌توانند به سازگاری بهتر کمک کنند.
572,Mercury_7141558,B,B,1,train,یک مهندس باید انرژی پتانسیل یک واگن ترن هوایی را در بالای یک شیب محاسبه کند. کدام اطلاعات بهترین کمک را به مهندس برای تعیین انرژی پتانسیل واگن می‌کند؟,مسافتی که واگن ترن هوایی باید طی کند,جرم واگن ترن هوایی در حد توان کامل,وزن متوسط یک واگن ترن هوایی خالی,سمتی که واگن ترن هوایی در آن حرکت می‌کند,99,100,99,برای محاسبه انرژی پتانسیل یک وسیله نقلیه در بالای یک شیب، مهم‌ترین عامل جرم وسیله نقلیه است. انرژی پتانسیل به فرمول mgh محاسبه می‌شود که در آن m جرم، g شتاب جاذبه و h ارتفاع است. بنابراین، دانستن جرم وسیله نقلیه در ظرفیت کامل به مهندس کمک می‌کند تا انرژی پتانسیل را به درستی محاسبه کند.,برای محاسبه انرژی پتانسیل یک واگن ترن هوایی در بالای شیب، مهم‌ترین عامل جرم آن است. انرژی پتانسیل با فرمول mgh محاسبه می‌شود که در آن m جرم، g شتاب جاذبه و h ارتفاع است. بنابراین، دانستن جرم واگن در ظرفیت کامل به مهندس کمک می‌کند تا انرژی پتانسیل را به درستی تعیین کند.
573,Mercury_SC_LBS10271,B,B,1,train,یک تفاوت بین گیاهان و حیوانات چیست؟,الف) گیاهان به مواد معدنی نیاز ندارند، اما حیوانات به آن نیاز دارند.,ب) گیاهان غذای خود را تولید می‌کنند، اما حیوانات این کار را نمی‌کنند.,ج) گیاهان اکسیژن تولید نمی‌کنند، اما حیوانات این کار را انجام می‌دهند.,د) گیاهان به نور خورشید نیاز دارند، اما حیوانات به آن نیاز ندارند.,104,100,104,یکی از تفاوت‌های اصلی بین گیاهان و حیوانات این است که گیاهان قادر به تولید غذای خود از طریق فرآیند فتوسنتز هستند، در حالی که حیوانات نمی‌توانند غذای خود را تولید کنند و باید آن را از منابع دیگر دریافت کنند. این ویژگی گیاهان به آن‌ها اجازه می‌دهد تا به عنوان تولیدکننده در زنجیره غذایی عمل کنند، در حالی که حیوانات به عنوان مصرف‌کننده‌ها شناخته می‌شوند.,یکی از تفاوت‌های اصلی بین گیاهان و حیوانات این است که گیاهان می‌توانند غذای خود را از طریق فتوسنتز تولید کنند، در حالی که حیوانات نمی‌توانند و باید غذا را از منابع دیگر تأمین کنند. این ویژگی گیاهان آن‌ها را به تولیدکننده‌ها در زنجیره غذایی تبدیل می‌کند، در حالی که حیوانات مصرف‌کننده هستند.
574,Mercury_SC_LBS10918,C,C,1,train,یک شخص ۶ فوت قد دارد. کدامیک از اندازه‌گیری‌های متریک زیر به ۶ فوت نزدیک‌تر است؟,۶ متر,۳ متر,۲ متر,۱ متر,42,100,42,قد 6 فوت تقریباً معادل 1.83 متر است. از گزینه‌های موجود، 2 متر نزدیک‌ترین مقدار به 1.83 متر است و بنابراین گزینه C صحیح می‌باشد.,قد ۶ فوت تقریباً ۱.۸۳ متر است. از گزینه‌ها، ۲ متر نزدیک‌ترین مقدار به ۱.۸۳ متر است، بنابراین گزینه C صحیح است.
575,MEAP_2005_8_8,B,B,1,train,کدام یک از موارد زیر نمونه‌ای از استراتژی فرار است که برای جلوگیری از کشته شدن و خورده شدن توسط شکارچیان استفاده می‌شود؟,گوزن‌ها در پاییز شاخ‌های خود را می‌ریزند.,قورباغه‌ها در شرایط تهدید دم‌های خود را رها می‌کنند.,ماهی‌های ماهی‌گیر برای جذب دیگر ماهی‌ها نور تولید می‌کنند.,سخرج‌ها برای پوشش خز خود روغن تولید می‌کنند و آن را ضد آب می‌کنند.,90,100,90,در شرایط تهدید، قورباغه‌ها می‌توانند با رها کردن دم خود از خطر شکارچیان فرار کنند. این استراتژی به آن‌ها این امکان را می‌دهد که در حالی که دمشان جلب توجه می‌کند، بتوانند از خطر فرار کنند و جان خود را نجات دهند. این رفتار به عنوان یک روش فرار شناخته می‌شود که به بقای آن‌ها کمک می‌کند.,در شرایط تهدید، قورباغه‌ها با رها کردن دم خود از خطر شکارچیان فرار می‌کنند. این استراتژی به آن‌ها اجازه می‌دهد تا در حالی که دمشان توجه را جلب می‌کند، جان خود را نجات دهند و از خطر دور شوند. این رفتار به بقای آن‌ها کمک می‌کند.
576,MCAS_2008_5_5647,D,D,1,train,آنت در حال استفاده از ابزارهای زیادی برای ساخت یک خانه سگ است. آنت به احتمال زیاد از نوار اندازه‌گیری برای کدام یک از موارد زیر در هنگام ساخت خانه سگ استفاده می‌کند؟,تصمیم‌گیری درباره نوع چوبی که باید استفاده شود,برداشتن میخ‌های اضافی از چوب,متصل کردن قطعات مختلف چوب به هم,تعیین محل برش چوب به قطعات,75,100,75,آنیت برای برش چوب به اندازه‌های مناسب نیاز دارد تا قطعات چوب را به درستی و با دقت برش دهد. استفاده از نوار اندازه‌گیری به او کمک می‌کند تا طول و عرض دقیق را اندازه‌گیری کند و از برش‌های نادرست جلوگیری کند. این کار برای ساخت یک خانه سگ با کیفیت ضروری است.,آنت برای برش دقیق چوب به اندازه‌های مناسب نیاز دارد. نوار اندازه‌گیری به او کمک می‌کند تا طول و عرض را به درستی اندازه‌گیری کند و از برش‌های نادرست جلوگیری کند. این امر برای ساخت یک خانه سگ با کیفیت ضروری است.
577,Mercury_407023,C,C,1,train,کدامیک از گزینه‌های زیر بهترین نمایش‌دهنده‌ی تبدیل انرژی سه مرحله‌ای اساسی برای یک رادیو با باتری است؟,آکوستیک -> مکانیکی -> الکتریکی,مکانیکی -> آکوستیک -> شیمیایی,شیمیایی -> الکتریکی -> آکوستیک,الکتریکی -> آکوستیک -> شیمیایی,67,100,67,رادیوهای باتری‌دار انرژی شیمیایی موجود در باتری را به انرژی الکتریکی تبدیل می‌کنند. سپس این انرژی الکتریکی برای تولید صدا به انرژی صوتی تبدیل می‌شود. بنابراین، ترتیب صحیح تبدیل انرژی در این مورد شیمیایی به الکتریکی و سپس به صوتی است.,رادیوهای باتری‌دار انرژی شیمیایی باتری را به الکتریکی تبدیل کرده و سپس این انرژی الکتریکی به انرژی صوتی تبدیل می‌شود. بنابراین، ترتیب صحیح تبدیل انرژی شیمیایی به الکتریکی و سپس به آکوستیک است.
578,Mercury_SC_401183,C,C,1,train,همه موارد زیر بخشی از چرخه حیات یک حیوان هستند، به جز,رشد.,تخصیص.,دو نیم شدن.,توسعه گامت.,80,100,80,تقسیم دوتایی (binary fission) یک روش تولید مثل غیرجنسی است که بیشتر در موجودات تک‌سلولی مانند باکتری‌ها مشاهده می‌شود و به طور مستقیم بخشی از چرخه زندگی حیوانات چندسلولی نیست. در حالی که رشد، باروری و توسعه گامت‌ها همگی مراحل مهمی در چرخه زندگی حیوانات هستند.,تقسیم دوتایی یک روش تولید مثل غیرجنسی است که در موجودات تک‌سلولی مانند باکتری‌ها رخ می‌دهد و به چرخه حیات حیوانات چندسلولی مربوط نمی‌شود. در مقابل، رشد، باروری و توسعه گامت‌ها مراحل کلیدی در چرخه زندگی حیوانات هستند.
579,Mercury_401311,C,C,1,train,کدام فرآیند به طور مستقیم تر با ساخت زمین جدید مرتبط است؟,فرسایش,آلودگی,رسوب گذاری,هوازدگی,80,100,80,فرآیند انباشت (deposition) به طور مستقیم با ساخت زمین جدید مرتبط است، زیرا در این فرآیند مواد رسوبی از آب، باد یا یخ به مکان‌های جدید منتقل شده و در آنجا جمع می‌شوند. این تجمع مواد می‌تواند منجر به تشکیل دشت‌ها، جزایر و دیگر اشکال زمین‌شناسی جدید شود.,فرآیند رسوب‌گذاری به طور مستقیم با ساخت زمین جدید مرتبط است، زیرا در این فرآیند مواد رسوبی از آب، باد یا یخ به مکان‌های جدید منتقل و جمع می‌شوند، که منجر به تشکیل دشت‌ها و جزایر جدید می‌شود.
580,Mercury_7215740,B,B,1,train,دانشمندان سلول‌های یک حیوان را مورد تحلیل قرار دادند تا علت یک عفونت را تعیین کنند. دانشمندان در مورد نتایج تحلیل به توافق نرسیدند. این عدم توافق در مورد چه چیزی در ذات علم نشان می‌دهد؟,الف) دانشمندان می‌توانند داده‌ها را به فرم‌های مختلف ارائه دهند.,ب) نتایج علمی می‌توانند به روش‌های مختلف تفسیر شوند.,ج) دانشمندان قادر به بیان ادعاهای غیرمعتبر هستند.,د) نتایج علمی اغلب با نتایج مورد انتظار متفاوت هستند.,108,100,108,این عدم توافق بین دانشمندان نشان‌دهنده این است که نتایج علمی می‌توانند به روش‌های مختلفی تفسیر شوند. علم یک فرآیند پویا است و تفسیر داده‌ها به عوامل مختلفی بستگی دارد، از جمله پیش‌فرض‌ها و تجربیات قبلی محققان. این موضوع نشان می‌دهد که علم همواره در حال پیشرفت و تغییر است و تفسیرهای مختلف می‌تواند به درک عمیق‌تری از پدیده‌ها منجر شود.,این عدم توافق نشان می‌دهد که نتایج علمی می‌توانند به روش‌های مختلفی تفسیر شوند. علم فرآیندی پویا است و تفسیر داده‌ها تحت تأثیر پیش‌فرض‌ها و تجربیات محققان قرار دارد. این موضوع نشان‌دهنده پیشرفت و تغییر مداوم علم است و تفسیرهای متفاوت می‌تواند به درک عمیق‌تری از پدیده‌ها کمک کند.
581,Mercury_SC_401644,D,D,1,train,یک بچه اسب تمامی این ویژگی‌ها را از والدین خود به ارث خواهد برد، مگر اینکه,قد.,وزن.,رنگ پوست.,غذای مورد علاقه.,78,100,78,اسب‌های جوان ویژگی‌هایی مانند قد، وزن و رنگ پوشش را از والدین خود به ارث می‌برند، زیرا این ویژگی‌ها تحت تأثیر ژنتیک قرار دارند. اما نوع غذایی که یک اسب ترجیح می‌دهد، بیشتر به عادات و محیط زندگی او بستگی دارد و به طور مستقیم از والدین به ارث نمی‌رسد.,اسب‌های جوان ویژگی‌هایی مانند قد، وزن و رنگ پوست را از والدین خود به ارث می‌برند، زیرا این ویژگی‌ها ژنتیکی هستند. اما غذای مورد علاقه به عادات و محیط زندگی بستگی دارد و مستقیماً از والدین به ارث نمی‌رسد.
582,Mercury_SC_416456,A,A,1,train,یک ارگانیسم تک‌سلولی می‌تواند همه کارهایی را که یک سلول از یک ارگانیسم چندسلولی انجام می‌دهد، انجام دهد به جز,تخصصی شدن.,تکثیر.,استفاده از انرژی.,ساخت پروتئین.,90,100,90,یک موجود تک‌سلولی می‌تواند تمام عملکردهای اساسی یک سلول از موجودات چندسلولی را انجام دهد، اما نمی‌تواند به تخصصی شدن بپردازد. در موجودات چندسلولی، سلول‌ها می‌توانند به انواع مختلفی از سلول‌ها با وظایف خاص تبدیل شوند، در حالی که موجودات تک‌سلولی به دلیل ساختار ساده خود نمی‌توانند این تخصص را داشته باشند.,یک ارگانیسم تک‌سلولی می‌تواند تمام عملکردهای اساسی سلول‌ها را انجام دهد، اما نمی‌تواند تخصصی شود. در موجودات چندسلولی، سلول‌ها به انواع مختلف با وظایف خاص تبدیل می‌شوند، در حالی که موجودات تک‌سلولی به دلیل ساختار ساده‌شان قادر به این تخصص نیستند.
583,Mercury_SC_405724,D,D,1,train,برای حفظ منابع غیرقابل تجدید، بهترین کار بازیافت است,روزنامه‌ها.,راهنماهای تلفن.,دستمال‌های کاغذی.,قوطی‌های سودا.,95,100,95,بازیافت قوطی‌های نوشابه به دلیل اینکه آلومینیوم یکی از منابع غیرقابل تجدید است، بسیار مهم است. تولید آلومینیوم از سنگ معدن نیاز به انرژی و منابع زیادی دارد، در حالی که بازیافت آن به طور قابل توجهی انرژی کمتری مصرف می‌کند و به حفظ منابع طبیعی کمک می‌کند. بنابراین، بازیافت قوطی‌های نوشابه بهترین گزینه برای حفظ منابع غیرقابل تجدید است.,بازیافت قوطی‌های نوشابه به دلیل اینکه آلومینیوم منبعی غیرقابل تجدید است، اهمیت زیادی دارد. تولید آلومینیوم از سنگ معدن انرژی و منابع زیادی می‌طلبد، اما بازیافت آن انرژی کمتری مصرف می‌کند و به حفظ منابع طبیعی کمک می‌کند. بنابراین، بازیافت قوطی‌های نوشابه بهترین گزینه برای حفظ این منابع است.
584,Mercury_7217105,D,D,1,train,چگونه چتر باعث افزایش کافی مقاومت هوا می‌شود تا چترباز بتواند به‌طور ایمن فرود بیاید؟,با کاهش نیروی جاذبه‌ای که بر چترباز تاثیر می‌گذارد,با کاهش جرم کل چترباز,با افزایش فشار هوای اطراف چتر,با افزایش مساحت کل سطح چتر,75,100,75,چتر نجات با افزایش مساحت سطح خود، مقاومت هوا را به طور قابل توجهی افزایش می‌دهد. این افزایش در مقاومت هوا باعث می‌شود که نیروی وارده بر چتر نجات و در نتیجه بر پاراچوتیست کاهش یابد، که به او اجازه می‌دهد به آرامی و با ایمنی به زمین فرود بیاید.,چتر نجات با افزایش مساحت سطح خود، مقاومت هوا را افزایش می‌دهد. این افزایش مقاومت باعث کاهش نیروی وارده بر چترباز می‌شود و به او کمک می‌کند تا به آرامی و ایمن فرود بیاید.
585,Mercury_183908,A,A,1,train,کدام یک از ویژگی‌های زیر هنگام طبقه‌بندی موجودات زنده در پادشاهی گیاهان استفاده می‌شود؟,نوع بافت آوندی,استفاده از فتوسنتز,وجود دیواره‌های سلولی,تولید اکسیژن,79,100,79,در طبقه‌بندی موجودات در پادشاهی گیاهان، نوع بافت آوندی یکی از ویژگی‌های کلیدی است. بافت آوندی به گیاهان کمک می‌کند تا آب و مواد مغذی را از ریشه‌ها به سایر قسمت‌های گیاه منتقل کنند و این ویژگی در تمایز بین گروه‌های مختلف گیاهی بسیار مهم است.,در طبقه‌بندی گیاهان، نوع بافت آوندی ویژگی کلیدی است. این بافت به انتقال آب و مواد مغذی از ریشه‌ها به سایر بخش‌ها کمک می‌کند و در تمایز گروه‌های مختلف گیاهی نقش مهمی دارد.
586,Mercury_7114415,C,C,1,train,بر اساس سوابق فسیلی، نخستین اسب‌ها کوچکتر از گونه‌های امروزی بودند. در طول زمان، اسب‌ها به تدریج تغییر کرده‌اند,تا شکارچیان بهتری شوند.,تا زمین را دوباره پرجمعیت کنند.,در پاسخ به محیطی در حال تغییر.,تا برای انسان‌ها مفید شوند.,66,100,66,بر اساس سوابق فسیلی، تغییرات تدریجی در اندازه و ویژگی‌های اسب‌ها به دلیل تغییرات محیطی و نیاز به سازگاری با شرایط جدید بوده است. این تغییرات به اسب‌ها کمک کرده تا در محیط‌های مختلف بهتر زندگی کنند و با چالش‌های جدید سازگار شوند.,تغییرات تدریجی در اندازه و ویژگی‌های اسب‌ها به دلیل نیاز به سازگاری با محیط‌های در حال تغییر بوده است. این تغییرات به اسب‌ها کمک کرده تا بهتر با چالش‌های جدید سازگار شوند.
587,Mercury_SC_408664,C,C,1,train,الی در حال پرورش یک باغ سبزیجات است. در کدام فصل گیاهان باغ الی بیشترین انرژی را از خورشید برای رشد دریافت می کنند؟,پاییز,بهار,تابستان,زمستان,66,100,66,در فصل تابستان، روزها طولانی‌تر و دما بالاتر است که باعث می‌شود گیاهان انرژی بیشتری از خورشید دریافت کنند. این شرایط ایده‌آل برای رشد و نمو گیاهان در باغ سبزی الی است و به آنها کمک می‌کند تا به بهترین شکل ممکن رشد کنند.,در تابستان، روزها طولانی‌تر و دما بالاتر است که به گیاهان اجازه می‌دهد انرژی بیشتری از خورشید دریافت کنند. این شرایط برای رشد بهینه گیاهان در باغ الی بسیار مناسب است.
588,Mercury_7001155,A,C,0,train,قبل از اینکه دانش‌آموزان اجازه داشته باشند از چکش‌ها برای بررسی نحوه شکستن مواد معدنی مختلف استفاده کنند، چه سوالی احتمالاً معلم خواهد پرسید؟,آیا همه عینک ایمنی زده‌اند؟,چه کسی مواد معدنی را از قفسه خواهد آورد؟,هدف از این تحقیق چیست؟,آیا کسی داوطلب شده است تا نقاشی‌هایی از شکستگی‌ها بکند؟,85,100,85,معلم قبل از اینکه به دانش‌آموزان اجازه دهد از چکش‌ها برای بررسی نحوه شکستن مواد معدنی استفاده کنند، احتمالاً از آنها می‌خواهد که هدف این تحقیق را درک کنند. این سوال به دانش‌آموزان کمک می‌کند تا با مفهوم و هدف آزمایش آشنا شوند و به آنها انگیزه می‌دهد تا با دقت بیشتری به فعالیت بپردازند.,معلم قبل از استفاده از چکش‌ها، احتمالاً از دانش‌آموزان می‌خواهد هدف تحقیق را درک کنند. این سوال به آنها کمک می‌کند تا با مفهوم آزمایش آشنا شوند و انگیزه بیشتری برای دقت در فعالیت داشته باشند.
589,NCEOGA_2013_8_19,C,C,1,train,ببرها و گربه‌های خانگی عضو یک خانواده هستند؛ اما اندازه‌های آن‌ها به طور قابل توجهی متفاوت است. دلیل این تفاوت چیست؟,ترکیب بیوشیمیایی,ترکیب رفتاری,ژنتیک,اندازه زیستگاه,85,100,85,تفاوت اندازه بین ببرها و گربه‌های خانگی به دلیل تفاوت‌های ژنتیکی آنهاست. این دو گونه از یک خانواده هستند، اما تغییرات ژنتیکی باعث شده است که ببرها به اندازه‌های بزرگتری رشد کنند در حالی که گربه‌های خانگی کوچک‌تر باقی مانده‌اند. بنابراین، ژنتیک عامل اصلی در تعیین اندازه این دو حیوان است.,تفاوت اندازه ببرها و گربه‌های خانگی به دلیل تفاوت‌های ژنتیکی است. هرچند که این دو گونه از یک خانواده‌اند، تغییرات ژنتیکی موجب شده ببرها بزرگ‌تر و گربه‌های خانگی کوچک‌تر شوند. بنابراین، ژنتیک عامل اصلی تعیین اندازه این حیوانات است.
590,Mercury_SC_407295,C,C,1,train,لوئیس پاستور فرایندی را ایجاد کرد که مقدار باکتری‌ها در شیر را کاهش می‌دهد. این فرآیند چگونه احتمالاً به مردم سود می‌زند؟,با کمک به جلوگیری از آلرژی‌های غذایی,با تشویق مردم به خوردن غذاهای سالم,با کمک به جلوگیری از بیمار شدن مردم,با درمان بیماری‌های ناشی از کمبود ویتامین‌ها,81,100,81,فرآیند ایجاد شده توسط لوئی پاستور به نام پاستوریزاسیون، با کاهش باکتری‌ها در شیر، به طور مستقیم به جلوگیری از بیماری‌ها کمک می‌کند. این فرآیند باعث می‌شود که شیر و محصولات لبنی ایمن‌تر برای مصرف باشند و خطر ابتلا به بیماری‌های ناشی از باکتری‌های مضر را کاهش دهد.,فرآیند پاستوریزاسیون که توسط لوئی پاستور ایجاد شد، با کاهش باکتری‌ها در شیر، به جلوگیری از بیماری‌ها کمک می‌کند. این روش ایمنی شیر و محصولات لبنی را افزایش داده و خطر ابتلا به بیماری‌های ناشی از باکتری‌های مضر را کاهش می‌دهد.
591,Mercury_LBS10257,B,B,1,train,کدام یک از موارد زیر نمایانگر فرآیند فتوسنتز است؟,C_{6}H_{12}O_{6} -> 6CO_{2} + 6H_{2}O,6CO_{2} + 6H_{2}O -> C_{6}H_{12}O_{6} + 6O_{2},2H_{2}O -> 2H_{2} + O_{2},2H_{2} + O_{2} -> 2H_{2}O,101,100,101,فرایند فتوسنتز شامل تبدیل دی‌اکسید کربن و آب به گلوکز و اکسیژن است. معادله شیمیایی این فرایند به صورت 6CO_{2} + 6H_{2}O -> C_{6}H_{12}O_{6} + 6O_{2} بیان می‌شود که نشان‌دهنده تولید گلوکز و اکسیژن از مواد اولیه است. بنابراین گزینه B صحیح است.,فرآیند فتوسنتز شامل تبدیل دی‌اکسید کربن و آب به گلوکز و اکسیژن است. معادله شیمیایی آن به صورت 6CO_{2} + 6H_{2}O -> C_{6}H_{12}O_{6} + 6O_{2} است که تولید گلوکز و اکسیژن را نشان می‌دهد. بنابراین، گزینه B صحیح است.
592,Mercury_401400,D,D,1,train,در برخی از گونه‌های گیاهان، گل‌های بنفش (P) بر گل‌های سفید (p) غالب هستند. اگر دو گیاه هتروزیگوت با هم تلاقی کنند، فنو تایپ فرزندان چه خواهد بود؟,100% گل‌های بنفش,100% گل‌های سفید,75% گل‌های سفید، 25% گل‌های بنفش,25% گل‌های سفید، 75% گل‌های بنفش,113,100,113,زمانی که دو گیاه هتروزیگوت (Pp) با هم جفت‌گیری می‌کنند، نتایج ممکن به صورت زیر خواهد بود: PP، Pp، Pp و pp. از این چهار ترکیب، سه ترکیب (PP و دو Pp) منجر به گل‌های بنفش و یک ترکیب (pp) منجر به گل‌های سفید می‌شود. بنابراین، نسبت فنوتیپ‌ها ۷۵٪ گل‌های بنفش و ۲۵٪ گل‌های سفید خواهد بود.,زمانی که دو گیاه هتروزیگوت (Pp) تلاقی می‌کنند، چهار ترکیب ممکن به دست می‌آید: PP، Pp، Pp و pp. از این چهار ترکیب، سه ترکیب (PP و دو Pp) گل‌های بنفش و یک ترکیب (pp) گل‌های سفید تولید می‌کند. بنابراین، نسبت فنوتیپ‌ها ۷۵٪ گل‌های بنفش و ۲۵٪ گل‌های سفید خواهد بود.
